syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
4,220.2051,180.6335,2.593,-6.5465,-2.0689,1.2504,3.3476,4.1289,0.6665,-2.4108
4,220.01,180.4654,-2.7342,1.9875,-1.7155,3.9531,-1.0949,2.6558,-0.1097,-1.7116
4,217.366,178.0467,-2.7422,-1.1624,-0.2683,1.0678,0.2503,0.5954,-0.2744,-0.8062
4,212.7231,175.3774,-2.7493,1.0476,0.7361,0.7329,-1.1923,0.2974,-0.0377,-0.8652
4,209.1586,172.0023,-2.7023,0.7624,1.0627,0.0643,-0.451,-0.1835,-0.0522,-0.6075
4,204.8826,170.2822,-2.7007,1.2382,1.2722,0.1442,-0.5421,-0.165,-0.0019,-0.4983
1,200.8231,168.3347,-2.6887,1.2034,1.2593,0.2398,-0.257,-0.1958,-0.101,-0.491
1,195.8761,165.7314,-2.6526,1.3232,1.3016,0.145,-0.3671,-0.1661,0.1353,-0.52
1,191.7661,163.1134,-2.6675,1.2017,1.1692,0.1043,-0.3789,0.0442,0.0801,-0.2968
1,187.9857,159.2285,-2.708,1.104,1.1521,0.0718,-0.3832,0.138,-0.0153,-0.3277
1,183.4521,157.2831,-2.717,1.1878,1.1663,0.0014,-0.5414,0.0659,0.0585,-0.3587
8,179.5853,154.5246,-2.6965,1.065,1.2979,0.1633,-0.747,-0.0861,0.2621,-0.2739
8,175.7655,152.1942,-2.7419,1.1456,1.0339,0.0287,-0.6533,-0.0121,-0.0183,-0.4738
8,173.0308,150.0086,-2.7359,1.0907,1.1415,0.2265,-0.6807,-0.3259,-0.1537,-0.3576
8,170.7856,150.226,-2.7114,1.0906,1.0029,0.0715,-0.8529,-0.2297,-0.2165,-0.5482
0,166.5227,148.4985,-2.7772,1.0771,0.947,0.3661,-0.6144,-0.3638,-0.2417,-0.673
0,162.8877,146.9421,-2.7433,0.9798,0.9744,0.2687,-0.8516,-0.2569,0.0722,-0.5151
0,160.2371,145.0363,-2.8187,0.986,1.0352,0.4515,-0.9031,-0.2756,0.1171,-0.3793
0,154.9379,143.867,-2.8262,0.9208,0.7238,0.1449,-0.8345,-0.31,0.0047,-0.3113
0,151.6448,142.8551,-2.8535,0.8312,0.6097,0.216,-0.9127,-0.1855,0.0156,-0.2473
0,147.37,141.9356,-2.8895,0.9976,0.8408,0.1174,-1.0186,-0.1983,0.0544,-0.2421
0,144.7445,140.42,-2.9077,0.7809,0.667,0.1608,-0.9224,-0.3418,0.0008,0.0235
0,141.3702,140.3701,-2.9507,0.8664,0.8986,0.253,-0.8933,-0.4211,-0.0088,-0.104
0,139.3078,139.3578,-2.9888,0.8177,0.951,0.2294,-0.951,-0.4734,0.0914,-0.0747
0,136.2277,139.3875,-2.9854,0.7947,0.8658,0.2509,-0.9174,-0.6142,0.0181,-0.0468
0,132.2309,138.6982,-3.039,0.8142,0.92,0.0282,-0.9642,-0.593,-0.0741,-0.1903
0,130.1953,137.7286,-2.9874,0.7542,0.8117,0.1925,-1.0921,-0.3588,0.0467,0.0254
0,128.6495,137.3546,-2.9707,0.7637,0.7647,0.1057,-1.1667,-0.5469,-0.0129,0.002
0,127.6265,137.0533,-3.0086,0.8184,0.9894,0.3541,-1.171,-0.4817,-0.1852,-0.0727
0,125.76,136.6626,-2.9847,0.8811,1.0746,0.612,-0.9683,-0.7196,0.0761,-0.1697
0,124.7148,136.4167,-3.007,0.9735,1.3284,0.6604,-0.7347,-0.5643,-0.3735,-0.1532
0,124.2812,136.9536,-3.0443,1.0987,1.4678,0.7642,-0.7637,-0.5816,-0.5078,-0.1004
0,123.4202,137.1306,-3.0379,1.1618,1.6249,1.0104,-0.3892,-0.6542,-0.3928,-0.1072
0,124.1196,138.1193,-3.0297,1.069,1.4541,1.2809,-0.4444,-0.5705,-0.5141,-0.3168
0,123.9726,137.4718,-3.045,1.0209,1.4273,1.2498,-0.3597,-0.7053,-0.4679,-0.102
