syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
11,398.3853,177.9223,-1.0277,0.9781,-1.631,-0.482,-2.0939,-2.1066,-2.5605,1.4599
11,400.1485,176.0289,-1.0668,-6.2603,3.1638,0.1831,0.0773,0.1414,0.1523,1.4844
11,400.4799,176.1175,-0.9933,-5.1693,4.3338,-0.2431,-1.9482,0.429,0.6494,-0.3091
11,401.8895,173.051,-1.0493,0.2334,0.9951,0.032,-0.5683,-0.4251,-0.5403,0.0044
17,404.558,169.6894,-1.0754,0.8002,0.4097,-0.1908,-0.6992,0.1378,-0.1092,-0.4837
12,406.8421,163.8471,-1.0475,0.8273,0.3877,-0.2651,-0.7303,0.0931,-0.0386,-0.5368
12,408.7143,160.1759,-1.0074,0.8486,0.4793,-0.1614,-0.6364,0.0619,-0.0724,-0.4983
12,411.5112,155.903,-1.0955,0.835,0.5357,-0.2826,-0.6685,-0.0178,-0.1508,-0.4399
12,414.946,152.1182,-1.0675,0.834,0.4761,-0.3975,-0.7187,-0.1018,-0.0949,-0.2172
12,418.3769,147.4585,-1.0296,0.8128,0.4304,-0.2873,-0.5709,0.0155,-0.0755,-0.2469
12,420.7775,144.5509,-0.9707,0.782,0.4253,-0.3307,-0.6083,-0.0507,-0.2123,-0.1383
12,423.7697,140.6008,-1.0164,0.7261,0.4668,-0.1723,-0.5463,0.0187,-0.1487,-0.0094
12,426.8905,136.4129,-1.0001,0.6642,0.4242,-0.2714,-0.5431,-0.0588,-0.2677,-0.0088
12,430.5571,132.5438,-0.9346,0.5952,0.4074,-0.2109,-0.5705,0.0229,-0.2183,0.0081
12,432.0411,131.1428,-0.9499,0.5305,0.3758,-0.2763,-0.6082,0.1471,-0.2224,-0.0308
12,433.525,128.1183,-0.99,0.6451,0.565,-0.4303,-0.6832,0.0102,-0.2337,-0.0086
12,436.3912,125.2723,-0.974,0.6214,0.578,-0.5748,-0.6842,-0.051,-0.2795,0.0474
12,439.0461,122.163,-0.9099,0.5964,0.6296,-0.6083,-0.5469,-0.1887,-0.2107,0.0608
12,442.0724,118.4944,-0.9303,0.5679,0.5897,-0.3564,-0.5799,-0.1979,-0.2241,0.0985
12,445.6359,115.6572,-0.973,0.5748,0.562,-0.2299,-0.6402,-0.2071,-0.1674,0.1678
12,448.2664,112.9034,-0.9585,0.5315,0.5087,-0.2618,-0.6358,-0.1706,-0.1034,0.1336
12,450.0477,110.8308,-0.9393,0.558,0.587,-0.3161,-0.5982,-0.1483,-0.1281,0.1005
12,452.4989,108.9936,-0.9225,0.6023,0.7232,-0.3498,-0.5455,-0.1781,-0.1649,0.1466
12,455.1202,105.8647,-0.9028,0.5774,0.7522,-0.3113,-0.5701,-0.1813,-0.2235,0.2206
12,457.4221,102.5459,-0.9444,0.608,0.7604,-0.4179,-0.647,-0.2141,-0.1767,0.0448
12,459.6989,101.0364,-0.9188,0.6141,0.8213,-0.5688,-0.7074,-0.2715,-0.2312,0.1416
12,461.8826,99.1953,-0.9139,0.6316,0.9231,-0.44,-0.8224,-0.3511,-0.1737,0.3034
12,462.5117,97.1367,-0.9365,0.6972,1.0847,-0.3558,-0.9647,-0.4444,-0.3691,0.277
12,464.2279,94.969,-0.9502,0.6807,1.1429,-0.1976,-0.8928,-0.4046,-0.3721,0.4421
12,464.8799,92.3558,-0.8602,0.6444,1.0963,-0.3307,-0.8482,-0.4596,-0.4328,0.4711
12,466.0161,91.0027,-0.9596,0.6354,1.1129,-0.4872,-0.9471,-0.5397,-0.5113,0.5052
12,466.5454,89.9169,-0.9575,0.5509,1.0799,-0.5962,-1.0939,-0.4648,-0.5263,0.4187
12,466.9735,89.7009,-0.9813,0.6296,1.1931,-0.742,-1.0386,-0.5244,-0.5669,0.3912
12,467.0235,88.6853,-0.8943,0.5782,1.0605,-0.6602,-1.2324,-0.4085,-0.4717,0.2301
12,468.5867,86.3464,-0.9271,0.5485,1.0596,-0.707,-1.2393,-0.3993,-0.4213,0.1265
12,469.5205,85.1262,-0.9669,0.6217,1.0983,-0.5824,-1.2774,-0.3154,-0.3757,-0.0723
5,469.4645,85.4774,-0.9286,0.8903,1.2206,-0.4803,-1.0886,-0.3155,0.0306,-0.0845
5,468.7665,84.4127,-0.9658,0.7705,0.7969,-0.2796,-1.0186,-0.3085,0.2501,-0.058
6,468.4227,84.117,-0.9778,0.8416,0.9076,-0.1964,-1.1235,-0.2821,0.2098,0.1224
6,468.3282,83.8809,-0.9842,0.8284,0.7483,-0.1697,-0.9276,-0.4339,0.2019,0.2353
6,468.2355,83.0399,-1.0418,0.7172,0.5679,-0.1345,-0.8222,0.0922,0.0863,0.1562
6,467.5574,81.8098,-1.1342,0.6467,0.5647,-0.0709,-0.8167,0.1565,0.3188,-0.1691
6,467.181,80.8658,-1.0985,0.7375,0.6944,0.1145,-0.8247,0.3077,0.0831,-0.1167
6,467.6993,79.6752,-1.1593,0.7617,0.4531,0.1424,-0.5281,0.071,-0.184,-0.0392
6,467.5778,78.1411,-1.2302,0.7212,0.4581,0.1627,-0.3748,0.1997,-0.3925,-0.1184
6,467.1099,75.8291,-1.2044,0.5715,0.5491,0.2467,-0.454,0.4794,-0.3306,-0.2817
6,467.7078,73.2303,-1.288,0.5861,0.4611,0.2366,-0.3508,0.2034,-0.2944,-0.1511
6,466.5349,72.24,-1.318,0.6697,0.5025,0.1469,-0.4702,0.4706,-0.4708,-0.0393
51,465.1955,68.8884,-1.3139,0.5799,-1.0387,0.7084,0.3721,-0.662,-0.7797,0.2811
51,465.5417,67.2657,-1.4316,0.2326,-2.3534,0.717,0.4508,-1.2181,-1.4893,0.3623
12,463.5318,65.7319,-1.4096,0.2317,-2.377,0.7706,0.4716,-1.3242,-1.4922,0.3595
12,461.4287,65.4339,-1.4529,0.3049,-2.2635,0.7886,0.6465,-1.2532,-1.5132,0.465
16,459.5101,66.355,-1.4899,0.4053,-2.4059,1.1975,0.4746,-1.1783,-0.8519,0.2795
16,457.4509,66.6655,-1.4884,0.4771,-0.976,0.9097,-0.3677,-0.5281,-0.0085,-0.2714
16,457.0645,67.1632,-1.5953,0.2608,-0.2988,1.0853,-0.4436,-0.3116,0.1575,-0.4262
16,455.0703,67.5426,-1.5977,0.5812,-0.0359,1.8942,-0.5483,-0.3435,0.4438,-0.3893
16,452.6564,66.013,-1.7214,0.7394,0.0616,2.1328,-0.7036,-0.2109,0.8289,-0.5421
12,451.192,64.718,-1.7703,0.7108,0.0149,2.0858,-0.7032,-0.1886,0.8184,-0.6132
12,448.2692,63.1741,-1.7766,0.7681,0.1109,1.95,-0.7111,-0.1917,0.867,-0.7636
12,446.653,62.7549,-1.7969,0.7713,0.1601,1.9559,-0.5937,-0.1103,0.8132,-0.7337
12,446.2683,62.0089,-1.9266,0.7762,0.2836,1.9463,-0.5901,-0.26,0.7516,-0.6822
16,445.153,61.6445,-2.0069,0.3066,0.538,1.7625,-0.5506,-0.1236,0.6062,-0.8659
16,443.9334,60.8003,-2.1121,0.4323,0.5509,1.3944,-0.0383,-0.2875,-0.1343,-0.5255
16,440.6896,58.9881,-2.1506,0.4788,-0.5191,1.5385,0.2023,-0.6171,-0.5969,0.0737
16,438.6589,57.1029,-2.16,0.3781,-1.6347,1.7769,0.724,-1.0405,-1.0215,0.6562
16,437.245,55.4769,-2.1876,-0.0432,-2.1118,2.2132,0.5427,-0.9338,-0.7084,0.7825
16,434.7354,53.6283,-2.2052,-0.196,-1.7131,1.7408,0.1933,-0.6172,-0.5643,0.52
16,431.406,51.5509,-2.3999,-1.2123,-1.6551,0.4401,0.2926,-0.5415,-0.4918,0.1234
16,427.9815,49.6474,-2.4783,-1.4095,-1.3663,0.4905,0.0719,-0.5718,-0.2256,0.116
16,425.9064,48.7492,-2.4645,-1.0606,-1.1747,1.2987,-0.2132,-0.9176,-0.4847,0.6074
16,424.5104,49.3581,-2.4708,-0.8421,-1.3807,1.9367,-0.2511,-0.9164,-0.4268,0.7846
16,421.5185,49.2326,-2.3646,-0.3869,-1.1375,1.6338,-0.3424,-0.7463,-0.7087,0.6448
16,418.234,49.0589,-2.4704,-0.3491,-0.8067,1.4907,-0.083,-0.6756,-0.9163,0.6082
16,415.879,48.7145,-2.5073,-0.15,-0.7596,1.1403,0.033,-0.4745,-0.7095,0.3475
16,414.3,47.5324,-2.5273,-0.2695,-1.511,0.8554,0.1606,-0.4647,-0.6158,0.1851
16,410.5366,46.2457,-2.8591,-2.0697,-0.9829,0.1516,-0.0266,0.0257,-0.0035,-0.1382
16,408.7538,43.9724,-2.9939,-2.4344,-0.9706,-1.4413,0.2364,0.1729,-0.002,-0.5624
16,406.3541,43.1821,-2.8755,-2.4238,-0.8067,-1.3741,-0.0826,0.134,0.2547,-0.5777
16,405.9893,43.4927,-2.8505,-2.2821,-1.3226,-0.9288,-0.0473,-0.1334,0.1768,-0.4177
16,405.8462,43.3829,-2.8621,-2.1721,-1.1602,-0.4504,-0.1134,-0.0265,0.1227,-0.4267
16,406.6104,45.1625,-2.6624,-1.3683,-1.4389,0.366,-0.0567,-0.3673,-0.0955,-0.2831
19,407.6601,46.3131,-2.7607,-0.958,-1.4311,0.4549,0.0954,-0.1404,-0.0305,-0.1793
19,407.4912,45.9262,-2.7538,-0.8691,-1.6495,0.3894,0.0206,-0.0397,-0.2149,-0.2206
19,405.227,46.046,-2.7174,-0.6027,-1.393,0.3646,0.0955,-0.1621,-0.0512,-0.1391
19,402.088,46.2861,-2.7866,-0.6831,-1.4326,0.36,-0.1764,-0.0554,-0.4787,-0.2954
19,398.482,46.4355,-2.9414,-0.7172,-1.3284,0.1389,-0.208,-0.0516,-0.1687,-0.1271
19,396.577,46.2911,-2.9657,-0.7746,-1.2859,0.0918,-0.2996,-0.0536,-0.4819,-0.407
19,394.6802,46.9334,-2.9753,-0.9107,-1.638,0.162,0.0436,-0.2053,-0.2852,-0.6406
19,392.7302,47.7245,-3.0772,-0.8827,-1.6416,0.1548,-0.1807,-0.0249,-0.4436,-0.3394
19,390.5018,46.7353,3.0748,-0.6141,-1.2628,-0.2451,-0.1355,0.1425,-0.8116,-0.7054
19,387.7537,46.8846,3.102,-0.3537,-1.0962,-0.1839,0.0157,-0.0671,-0.6869,-0.6112
19,385.5767,46.9857,3.0629,-0.1248,-1.0494,-0.352,0.1274,-0.0269,-0.5657,-0.5252
19,383.011,47.4291,3.0977,-0.0686,-1.0423,-0.0988,0.2156,-0.1257,-0.7423,-0.2773
19,380.2178,47.518,3.0722,-0.2938,-1.1552,-0.1323,-0.0343,-0.0337,-0.5181,-0.4603
19,377.3394,46.7568,3.0488,-0.3235,-0.8669,-0.2977,0.1462,-0.1549,-0.576,-0.5631
19,374.1553,47.6217,3.0419,-0.2402,-0.7317,-0.3798,0.0956,-0.267,-0.3086,-0.1864
19,372.6403,47.9359,2.9957,-0.1918,-0.56,-0.3189,-0.1154,-0.3331,-0.5784,-0.3953
19,370.7373,48.2003,2.9908,-0.3581,-0.6849,-0.3053,0.1213,0.0835,-0.4304,-0.2273
19,366.8288,48.0033,3.0544,-0.2148,-0.4893,-0.3157,0.0838,-0.2389,-0.2642,-0.4076
19,360.4628,47.523,3.0201,0.0699,0.1711,-0.5354,-0.178,-0.1932,0.0802,-0.6296
19,357.6989,46.4797,2.9838,0.1569,0.2684,-0.6336,-0.0248,-0.1781,-0.2727,-0.4846
19,355.0779,46.506,3.0246,-0.0061,-0.123,-0.778,0.171,-0.2789,-0.0996,-0.6485
19,352.6684,47.1083,2.9998,-0.2705,-0.6112,-0.7176,0.225,-0.2917,-0.3244,-0.1551
55,348.4687,47.3282,3.1241,-1.3006,-2.1402,-0.4825,0.3984,-1.5809,-0.3101,-0.9287
55,344.87,48.843,3.0658,-0.7278,-2.0265,-1.1145,-0.2642,-1.1408,-0.692,-0.4536
5,341.7104,50.1124,2.9853,-0.3662,-1.6099,-0.8126,-0.1148,-1.1469,-0.7018,-0.6038
5,339.6643,49.7211,2.9705,-0.1698,-1.4151,-0.3735,-0.1774,-0.6664,-0.8262,-0.3764
16,337.7651,49.8299,3.0383,-0.0203,-1.1291,-0.1277,-0.1239,-0.637,-0.5135,-0.517
16,333.6521,48.7268,2.9818,0.0386,-0.0762,-0.6265,-0.2222,-0.1175,-0.0942,-0.8597
12,329.6718,48.4046,2.9279,0.0955,-0.0433,-0.6545,-0.2392,-0.104,-0.1143,-0.9637
