syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
17,534.7683,197.5712,-2.0971,-2.7716,-2.0671,-2.9594,-2.0542,-2.4586,2.7346,-6.5609
17,536.1904,195.5895,-2.5756,-1.333,-2.1763,-2.8741,-1.9973,-1.3358,2.5625,5.0544
17,538.6895,193.2298,-1.4595,-4.4675,4.7687,-2.0562,0.2995,-0.0103,0.5747,-0.3719
17,540.0425,189.5803,-1.4057,1.2911,0.132,-1.0794,0.2294,-0.4972,-0.1733,0.0885
9,542.1308,183.9979,-1.4783,1.182,0.8537,-0.3831,-0.5117,-0.154,-0.1215,0.151
9,543.8689,177.0958,-1.4449,1.1278,0.7935,-0.0745,-1.0111,0.1181,0.3988,-0.6128
10,546.8857,170.1821,-1.3984,1.0767,0.5389,0.0943,-0.6211,-0.0124,0.1668,-0.0222
10,548.4483,162.9289,-1.3838,1.1592,0.6527,-0.2175,-1.0336,-0.2498,0.436,-0.3105
10,550.1991,156.881,-1.3496,0.9339,0.5434,-0.1077,-0.7413,-0.3062,0.3237,-0.1842
10,552.4431,151.1353,-1.4097,0.9868,0.5151,-0.4029,-1.038,-0.2224,0.2307,-0.2237
10,553.5061,145.4699,-1.3127,0.961,0.6239,-0.278,-0.8344,-0.2247,0.3888,-0.115
10,554.3593,140.5762,-1.3672,0.9877,0.6694,-0.402,-0.8654,-0.3642,0.4958,-0.3174
10,554.7807,134.4737,-1.4431,0.9904,0.6182,-0.2263,-0.7277,-0.3429,0.4101,0.2718
2,554.7823,128.9403,-1.4776,0.9147,0.6336,-0.4263,-1.0099,-0.4148,0.3679,-0.0954
2,555.0739,124.8846,-1.4741,0.8063,0.5259,-0.4178,-0.9719,-0.4032,0.2726,-0.0474
2,555.5666,121.1331,-1.5005,0.8244,0.5444,-0.5278,-0.897,-0.4473,0.095,-0.2123
2,555.4576,116.2565,-1.481,0.905,0.5769,-0.4203,-0.7915,-0.2121,0.1803,0.0563
2,555.4561,113.6908,-1.5031,0.8315,0.4618,-0.5754,-0.7513,-0.1777,0.0989,-0.0048
2,555.6348,112.435,-1.5551,0.9291,0.3277,-0.2124,-0.6782,-0.1806,-0.0135,-0.0254
2,555.5119,111.7501,-1.5908,0.9301,0.4608,-0.5248,-0.2613,-0.577,0.0354,0.029
4,554.9098,112.1939,-1.6936,1.071,0.6261,-0.3603,-0.2787,-0.5934,0.0169,0.1314
4,553.1494,112.596,-1.702,1.1179,0.595,-0.1443,-0.4301,-0.4029,0.1083,0.0744
4,550.8946,113.4737,-1.7728,0.9604,0.4762,0.2649,-0.1397,-0.0184,-0.0775,-0.3462
4,548.4765,115.4209,-1.8119,0.9648,0.6279,0.8813,-0.1093,0.0367,-0.1327,-0.3487
4,545.7779,119.5388,-2.0132,0.7321,0.514,1.2469,-0.1213,0.395,-0.3089,-0.525
4,541.288,123.5471,-2.1941,0.4385,0.1306,1.7351,-0.2447,0.4959,-0.0722,-0.4322
4,538.3868,126.6416,-2.3244,0.2833,0.1412,2.2512,-0.2469,0.3859,-0.4043,-0.4123
4,534.6799,127.7344,-2.3742,0.3558,0.3115,2.4969,-0.4704,0.5799,-0.3252,-0.5356
4,531.094,128.0938,-2.4631,0.5214,0.5523,2.4738,-0.4259,0.5035,-0.2952,-0.419
4,525.2352,126.8492,-2.5731,0.8129,1.0608,1.9596,-0.162,0.1383,-0.1592,-0.3033
1,518.0773,125.5125,-2.662,1.0302,1.0927,1.5768,-0.3221,0.1136,-0.0674,-0.5118
1,510.0285,121.7709,-2.7243,1.0959,1.0823,1.2718,-0.1437,0.0153,-0.1309,-0.2748
1,502.3594,118.3254,-2.7383,1.0963,1.0801,0.7264,0.0055,-0.059,0.0272,-0.1452
1,494.5162,114.7997,-2.8379,1.1127,1.0826,0.5189,-0.1015,0.0324,-0.1824,-0.2161
1,488.7028,111.0301,-2.7893,1.0658,1.2545,0.4741,0.2313,-0.2225,-0.3606,-0.276
1,482.1789,109.2498,-2.748,1.1282,1.4315,0.3866,-0.1375,-0.1337,-0.2755,-0.3484
1,475.5417,105.9998,-2.7337,1.1495,1.297,0.4586,0.0067,0.041,-0.0589,-0.3389
1,467.0038,103.489,-2.7357,1.1509,1.2098,0.3828,-0.3237,0.2279,-0.2944,-0.4781
1,459.0092,99.5175,-2.7559,1.0984,1.1778,0.1721,0.0097,-0.1959,-0.1706,-0.1813
1,451.4172,95.0524,-2.6985,1.1698,1.0753,0.0718,-0.1205,-0.1688,0.1164,-0.3106
