syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
9,144.9967,445.1852,-0.1726,-7.0275,-2.1098,-3.2813,-1.9335,-2.5929,0.6788,-6.0427
9,143.8892,444.5453,-2.8036,0.0076,1.8609,-2.4337,0.8647,0.1926,0.4783,-1.0035
9,142.9468,445.5591,-2.7344,1.0761,1.3542,-1.0254,-0.9781,-1.305,0.0522,0.5381
9,138.9665,444.4195,-2.7399,1.2845,1.889,-0.6073,-0.7676,-1.0554,0.1524,0.1108
1,137.6698,445.1668,-2.7231,1.3136,1.7529,-0.5411,-0.9089,-0.7551,0.4453,-0.1901
2,135.4837,443.9579,-2.7231,1.2001,1.4453,-0.099,-0.931,-1.0998,-0.0021,0.0122
2,133.8045,444.2273,-2.7159,1.2511,1.4314,-0.3284,-1.1155,-0.665,0.0588,0.2044
2,132.5211,443.9716,-2.7818,1.2992,1.2899,-0.1654,-0.9653,-0.8179,-0.0147,0.068
2,130.6442,444.7094,-2.7674,1.2806,1.144,-0.3998,-0.8296,-0.8248,-0.0374,-0.1123
2,130.7031,443.8392,-2.7468,1.3391,1.2833,-0.1245,-1.1172,-0.7262,0.3216,-0.1295
2,129.3361,444.1257,-2.7243,1.3779,1.1988,-0.16,-1.0149,-0.9023,0.0363,-0.1702
2,127.9112,443.2754,-2.7135,1.3243,1.2286,0.0276,-1.1955,-1.0075,0.3039,-0.2587
2,126.3995,442.3572,-2.682,1.3241,1.0405,-0.0602,-1.4485,-1.0519,0.4146,-0.248
2,123.2234,440.0551,-2.6079,1.2283,0.8804,-0.0395,-1.3625,-0.9901,0.3249,-0.3047
2,120.8214,438.4991,-2.63,1.1293,0.9906,0.1999,-1.0901,-0.7273,0.1384,-0.3647
1,118.9041,436.5006,-2.6371,1.1158,1.0501,0.5242,-1.2669,-0.6967,-0.0031,-0.2319
1,116.9956,434.3544,-2.6281,1.1906,1.2841,0.5562,-1.1336,-0.879,0.0095,-0.0604
1,116.348,433.9648,-2.6088,1.1284,1.2049,0.6168,-1.0551,-1.0468,-0.0292,0.0513
1,115.6366,433.4413,-2.6057,1.0608,1.0745,0.5678,-1.2571,-0.6199,-0.0758,-0.1994
1,115.3522,433.7818,-2.5508,1.0792,1.1647,0.5025,-1.1076,-0.6645,-0.0144,-0.0042
1,115.8282,434.0334,-2.5471,1.0084,1.0478,0.5038,-1.0291,-0.7315,0.04,0.2253
1,116.4588,434.1156,-2.5652,0.9913,1.1469,0.3196,-0.8797,-0.5911,0.0075,0.1356
2,117.95,434.8917,-2.5269,0.7166,0.8922,0.2375,-0.6763,-0.7408,0.0984,0.2365
2,119.5259,434.9707,-2.4728,0.5643,0.7066,0.2774,-0.4249,-0.7254,0.012,0.5577
2,121.8277,435.2822,-2.3738,0.3774,0.5291,-0.2684,-0.1632,-0.5743,0.026,0.3216
2,124.7364,435.1396,-2.259,0.311,0.4408,-0.5879,-0.0576,-0.4223,-0.212,0.387
1,126.6122,434.1735,-2.2387,0.2966,0.4982,-0.5997,-0.1554,-0.4264,-0.2064,0.5966
1,126.6826,433.1741,-2.2175,0.3987,0.6424,-0.7465,0.0993,-0.4559,-0.4721,0.6248
1,126.6196,430.8661,-2.2223,0.4482,0.6432,-0.5106,-0.0283,-0.3327,-0.1966,0.5028
1,126.1636,428.6634,-2.1717,0.4471,0.6915,-0.5154,0.1206,-0.3403,-0.218,0.4822
1,124.0035,424.4365,-2.1405,0.4985,0.6507,-0.6852,0.0163,-0.3674,-0.277,0.4664
1,122.3498,421.2253,-2.0571,0.5703,0.7554,-0.9283,0.0597,-0.214,-0.4397,0.2335
1,120.0328,417.9353,-1.9491,0.5898,0.6447,-0.7741,0.1472,-0.2987,-0.4768,0.4069
1,118.9782,413.1508,-1.8913,0.6513,0.7486,-0.7718,0.3024,-0.3723,-0.5534,0.2145
1,116.9006,408.3383,-1.8394,0.6807,0.7289,-0.5684,0.0916,-0.3828,-0.6127,0.108
1,115.2244,404.0252,-1.7949,0.6962,0.7122,-0.3953,-0.0153,-0.4278,-0.5073,0.1041
1,113.1205,401.0249,-1.7612,0.7177,0.7264,-0.1465,0.0446,-0.4253,-0.8295,0.3409
1,111.0633,396.2565,-1.7558,0.7041,0.7627,-0.0257,-0.0322,-0.4161,-0.6595,0.0345
1,110.176,392.1673,-1.7894,0.7576,0.8213,0.0524,0.0506,-0.337,-0.5279,0.2505
1,109.4861,389.1278,-1.815,0.8737,0.8997,0.1168,-0.0218,-0.5215,-0.4935,0.1256
1,108.9602,385.2759,-1.7482,0.9759,0.91,-0.025,0.3127,-0.6873,-0.4841,0.1577
1,108.094,381.038,-1.7365,1.0389,0.9464,-0.0904,0.3068,-0.5074,-0.5261,-0.0754
1,108.1296,376.3132,-1.7169,1.0099,0.7758,-0.1193,0.024,-0.2844,-0.4505,0.1429
1,107.8065,373.185,-1.6193,0.9467,0.7192,-0.2758,0.2933,-0.3919,-0.4047,0.2747
