syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
41,346.1451,280.0461,1.5493,-1.5813,5.041,-3.9357,-0.9335,-2.9023,-1.0746,0.1337
41,346.001,281.464,-1.6442,8.723,-0.521,1.8554,4.9891,-0.7083,0.2491,-0.9865
41,345.1072,281.4206,-1.8043,16.1766,-0.1727,-2.1206,-8.4301,1.823,-8.4654,5.7657
41,345.9634,282.0978,-1.9005,12.2835,5.2745,-4.8736,-22.6505,-2.077,-4.0783,10.3241
41,346.4628,281.7929,-1.7858,11.437,5.5553,-10.0854,-40.4966,-4.1398,0.2675,10.226
41,347.7979,280.9353,-1.7785,9.3007,8.5645,-12.1902,-51.8961,-5.8177,1.9598,13.1962
41,347.1032,280.4206,-1.7345,9.2543,8.3672,-14.3255,-61.7761,-10.7855,0.9097,15.3899
16,346.9918,278.0362,-1.6565,6.7328,4.7314,-15.395,-59.7608,-9.8479,0.5272,13.006
16,347.1861,276.7444,-1.5585,4.9894,2.3123,-15.8826,-56.6242,-8.9329,-0.7728,10.1006
25,346.5607,275.6889,-1.56,3.0618,3.3725,-5.8472,-31.6649,-11.6425,-0.7509,-2.3012
25,347.1104,276.8353,-1.3374,1.3296,0.9303,-5.9079,-21.319,-8.1816,1.7273,0.1185
25,345.2318,276.5013,-1.4084,0.0125,2.5904,0.2187,-8.1901,-15.3131,-5.7724,-8.1656
25,345.1365,276.808,1.1189,-4.5431,9.2203,2.1577,9.6394,-23.08,-6.314,-12.2696
46,344.6184,275.9595,0.9827,-3.3883,13.0797,2.9122,6.9026,-31.7254,-4.9744,-13.8989
46,343.9262,274.6148,1.1061,-3.4186,16.4902,3.4503,8.6378,-35.5618,-11.6687,-18.1606
46,344.4168,273.2317,0.9743,-2.9268,16.3594,4.5249,12.0481,-29.5931,-14.1228,-19.6473
46,346.0967,272.2328,0.9087,1.7703,15.974,4.7054,13.0337,-26.669,-18.0275,-15.973
41,347.5158,272.5329,0.9608,1.8205,16.7243,3.6876,11.3748,-26.8922,-16.3634,-13.1826
41,348.7327,273.3831,1.1054,2.165,17.0071,2.2944,7.5364,-24.7458,-13.0343,-11.7222
41,349.5516,273.6231,1.3215,2.7428,17.1515,1.9515,5.2696,-21.7124,-9.9498,-10.3495
41,349.0785,274.3187,1.4325,2.794,15.7361,1.9328,4.1873,-20.5899,-8.6826,-8.045
46,349.705,274.1683,1.4786,2.2503,15.3537,2.0945,4.2141,-15.8949,-7.8362,-6.3356
46,350.7701,276.3414,1.3772,1.4581,6.6222,2.8773,8.9968,-9.2538,-6.6747,-4.2377
25,352.3947,278.3285,1.339,1.3246,4.1253,1.1187,0.4196,-6.5151,-3.2567,-1.8419
25,352.9587,279.2061,1.2647,-1.1242,1.4346,-0.7153,-0.834,-2.8561,-0.6075,-2.15
25,353.612,281.551,1.291,1.0165,0.9549,0.0737,-0.0009,-0.2736,0.1247,-0.6153
12,354.0863,283.9383,1.2866,1.0487,1.0325,-0.0502,0.2798,-0.2365,-0.1183,-0.4668
12,354.3957,285.1954,1.2868,1.051,1.0923,0.0308,0.2774,-0.3392,-0.0118,-0.3031
12,354.4739,287.9713,1.2959,1.1192,1.1917,0.0832,0.2309,-0.3674,-0.018,-0.299
12,354.5055,289.1583,1.2968,1.2399,1.2956,-0.0175,0.115,-0.3996,-0.0078,-0.318
12,355.2139,290.371,1.3163,1.2346,1.2938,-0.0545,0.0532,-0.4321,-0.0188,-0.3006
12,356.007,289.9745,1.3128,1.196,1.2999,0.0188,0.1852,-0.4963,0.0712,-0.3015
3,355.9658,290.0041,1.3464,1.2296,1.2557,-0.1802,0.2179,-0.2409,-0.053,-0.367
3,355.461,290.7121,1.3562,1.2374,1.2432,-0.1323,0.2945,-0.326,0.3293,-0.2561
3,355.3002,289.5989,1.3003,1.1862,1.3538,0.0484,0.2637,-0.3622,-0.2417,-0.4011
3,354.862,289.364,1.3668,1.2553,1.3048,-0.171,0.3482,-0.5049,0.0158,-0.3003
3,354.8753,289.4837,1.3489,1.2568,1.4431,-0.2088,0.3079,-0.2693,0.1041,-0.2246
3,355.0309,290.1569,1.3429,1.2541,1.3934,-0.1805,0.3721,-0.6483,0.2713,-0.4024
3,355.4024,290.1518,1.3371,1.1707,1.3824,-0.0572,0.2407,-0.5449,0.2189,-0.1182
3,355.6292,290.7069,1.3551,1.1914,1.2842,-0.0023,0.3025,-0.5077,0.1528,0.2609
3,355.363,291.0738,1.3446,1.178,1.3398,-0.2541,0.3422,-0.1974,0.0467,0.1342
3,355.474,290.5371,1.3304,1.0652,1.4335,-0.2423,0.2506,-0.3614,0.0926,-0.0195
3,355.4932,290.5669,1.3541,1.189,1.2601,-0.2699,0.3061,-0.5138,0.2874,0.2296
3,354.8845,289.7698,1.3372,1.2463,1.095,-0.1077,0.4175,-0.3164,0.2966,-0.0066
3,355.2846,289.3536,1.356,1.1515,1.221,-0.3235,0.1754,-0.5693,0.1483,0.1538
3,354.7087,289.6988,1.3439,1.1868,1.2118,-0.3242,0.2543,-0.349,0.1979,0.1272
3,355.243,289.9834,1.3576,1.1488,1.2337,-0.2685,0.4157,-0.3698,0.1753,0.1167
3,355.0857,290.5001,1.339,1.1509,1.2503,-0.196,0.3775,-0.1876,0.0411,0.1275
3,355.0872,291.0701,1.3488,1.0837,1.1216,-0.1527,0.3906,-0.1342,0.3127,0.0278
3,356.0196,291.86,1.4231,0.9291,1.2482,-0.0847,0.4395,-0.357,0.2192,-0.1339
3,355.7086,293.3187,1.3907,1.0271,1.1932,-0.2666,0.309,-0.2708,0.263,-0.1996
3,355.8357,294.7273,1.3934,1.1009,1.1277,-0.1588,0.2492,0.0326,0.0965,-0.0776
3,355.9042,296.6959,1.3769,1.0236,1.3027,-0.0743,0.1714,0.1166,-0.0513,-0.2041
