syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
33,473.2387,240.7472,-0.3653,2.6858,-0.0998,0.667,0.0687,-1.5435,2.408,0.9687
33,473.6216,240.5457,-0.3202,-0.3478,3.1146,-0.0252,1.5109,0.1639,0.6562,-1.6917
33,476.8609,240.8775,-0.3818,0.9186,0.3182,-0.5953,0.9308,-0.6401,-0.2396,-0.8133
33,480.6117,239.071,-0.3727,1.0957,1.2118,-0.9738,0.6678,-0.3232,0.0242,-0.9676
33,484.5598,237.2635,-0.37,0.8222,1.0423,-0.8092,0.2985,-0.6338,-0.3619,-0.6235
10,488.3703,235.4719,-0.3768,0.9706,1.0106,-0.5996,0.2681,-0.5024,-0.3605,-0.502
10,491.9671,233.4181,-0.3553,0.879,1.0043,-0.4624,0.3593,-0.5481,-0.3157,-0.2227
10,496.0729,233.0715,-0.3563,0.9019,0.9374,-0.3654,0.4612,-0.6659,-0.2056,-0.0792
10,498.931,232.7434,-0.4001,0.8252,1.1101,-0.2652,0.3976,-0.491,-0.3474,-0.3838
10,502.6948,232.2143,-0.3773,0.8619,1.1602,-0.4317,0.3768,-0.6636,-0.1775,-0.2719
10,505.4593,230.5369,-0.3964,0.9661,1.2628,-0.3162,0.2365,-0.6718,-0.0743,-0.4007
10,509.7656,228.6977,-0.3759,0.9982,1.2371,-0.2739,-0.0461,-0.6903,-0.3001,-0.4162
10,513.4709,228.3247,-0.3807,0.9857,1.1246,-0.322,0.1708,-0.7972,-0.0847,-0.0339
10,516.903,226.8882,-0.4161,0.9539,1.2815,-0.3128,-0.1797,-0.739,-0.1322,-0.1904
10,519.5595,224.9635,-0.4246,0.8926,1.1285,-0.1722,-0.2192,-0.5707,-0.0881,-0.1851
10,521.316,224.1238,-0.3953,0.9126,1.0648,-0.2231,-0.0844,-0.6989,-0.3055,-0.189
10,522.9749,223.3688,-0.4242,0.9092,1.1049,-0.2917,-0.2134,-0.6591,-0.5151,-0.3614
10,524.9405,222.3792,-0.3757,0.9501,1.1729,-0.3964,-0.2218,-0.7827,-0.317,-0.1346
10,527.2347,220.88,-0.3755,0.9274,1.0838,-0.1969,-0.1425,-0.8727,-0.5093,-0.02
10,530.9412,219.7345,-0.373,0.9234,1.1142,-0.1391,-0.1797,-0.9042,-0.4914,-0.119
10,533.3609,218.494,-0.4061,0.8686,1.0741,0.1363,-0.2592,-0.9047,-0.6577,-0.0828
10,534.5085,217.6739,-0.4079,0.9129,1.1152,-0.011,-0.3206,-0.892,-0.7003,-0.0363
10,536.477,216.3762,-0.4352,0.9151,1.2135,0.2182,-0.3641,-0.99,-0.5013,-0.0333
10,537.6979,215.6057,-0.4122,1.0058,1.205,0.3208,-0.2743,-1.1503,-0.8009,-0.2366
10,539.1508,214.7904,-0.3998,1.0928,1.3361,0.3429,-0.1527,-1.027,-0.7272,-0.2361
10,540.7782,213.5607,-0.4164,1.162,1.3886,0.2394,-0.3341,-0.9796,-0.6856,-0.3022
10,542.7296,212.6214,-0.453,1.253,1.3682,0.2913,-0.4816,-1.0819,-0.4963,-0.3264
10,543.7336,211.9766,-0.4336,1.2859,1.5265,0.18,-0.5277,-0.8569,-0.4748,-0.6334
10,543.4129,211.4941,-0.4686,1.3105,1.4292,0.3334,-0.7658,-0.7688,-0.2485,-0.6358
10,543.4171,211.2158,-0.4737,1.304,1.4957,0.1903,-0.5447,-0.8382,-0.0596,-0.4199
10,544.4858,210.6989,-0.463,1.2289,1.3148,0.2843,-0.5695,-0.9954,0.048,-0.374
10,543.0212,210.371,-0.4999,1.0923,1.2364,0.2831,-0.4914,-0.8744,-0.1087,-0.3581
10,542.5081,208.9491,-0.5229,0.9499,0.9745,0.4801,-0.6038,-0.5466,0.0563,-0.5378
7,541.8155,208.4143,-0.571,0.7295,0.7505,0.5002,-0.8318,-0.6435,0.0256,-0.3837
7,541.6401,207.9329,-0.6497,0.5835,0.5765,0.3475,-0.6445,-0.4057,-0.2559,-0.377
7,542.6597,206.8877,-0.6148,0.5718,0.633,0.2214,-0.8025,-0.9014,-0.4668,-0.2993
7,543.0425,205.0495,-0.6401,0.7273,0.8408,0.2089,-0.8153,-0.7109,-0.3347,-0.3549
7,542.4065,203.7961,-0.7051,0.6271,0.8235,0.3099,-0.7648,-0.7182,-0.5844,-0.0496
7,541.869,202.9923,-0.7129,0.7303,1.1009,0.1095,-1.0217,-0.6097,-0.9339,-0.1625
19,541.6456,201.947,-0.7467,0.7337,0.9366,0.4044,-0.9772,-0.4874,-0.687,-0.467
19,542.2299,200.2967,-0.7845,0.7289,0.9444,0.253,-0.8318,-0.5387,-0.7706,-0.2532
19,542.8095,199.2813,-0.8146,0.7291,1.0028,0.5041,-1.1089,-0.5885,-0.7079,-0.2867
19,543.9768,196.5304,-0.8904,0.8328,0.918,0.619,-0.8293,-0.3716,-0.7367,-0.3318
19,544.562,193.3722,-0.9283,0.7621,0.8577,0.6725,-0.929,-0.3588,-0.4673,-0.258
19,544.8891,189.7436,-1.0345,0.8482,0.8755,0.3574,-0.8655,-0.151,-0.6924,-0.3263
19,545.341,186.0455,-1.0239,0.6269,0.941,0.5775,-0.803,-0.0115,-0.5896,-0.6931
19,547.5628,182.1965,-1.0861,0.4246,0.4081,0.6324,-0.9369,-0.2105,-0.5235,-0.5854
19,548.4637,179.5438,-1.1011,0.4609,0.2298,0.6384,-0.7548,-0.1745,-0.7888,-0.0846
19,548.8735,177.6254,-1.2197,0.6529,0.2682,0.4201,-0.8822,-0.2039,-0.4412,-0.4266
19,549.5738,176.2,-1.2527,0.6527,0.4303,0.4713,-0.7933,-0.199,-0.3135,-0.3715
19,549.3113,174.1911,-1.2931,0.7088,0.49,0.6896,-0.7132,-0.0578,-0.4746,-0.2273
19,548.7196,172.6747,-1.3089,0.6802,0.4026,0.641,-0.9505,-0.1638,-0.0587,-0.4916
19,549.1667,170.4397,-1.3903,0.6069,0.3399,0.9684,-0.7021,-0.159,-0.164,-0.1929
19,548.5201,168.6697,-1.3858,0.6271,0.4038,0.7961,-0.6797,0.0097,0.3721,-0.1117
19,547.369,165.6912,-1.4773,0.6744,0.3847,0.75,-0.8748,-0.1182,0.1372,-0.2077
19,546.0831,164.1802,-1.4913,0.5556,0.0134,0.7361,-0.6154,-0.2876,0.2731,-0.1234
19,543.999,160.4557,-1.5015,0.4728,-0.2265,0.948,-0.7135,-0.2147,0.13,0.3094
19,541.5209,156.5075,-1.7142,0.3634,-0.0932,0.9139,-0.8016,-0.0623,-0.1615,-0.0815
19,538.8534,152.1515,-1.6987,-0.1647,-0.8463,0.7519,-0.4549,0.0335,-0.2521,-0.0095
19,537.5262,149.8398,-1.7314,-0.3487,-0.9795,0.7223,-0.3425,-0.0253,-0.3717,0.1803
19,536.5615,146.2381,-1.7759,-0.3667,-0.5352,0.8024,-0.5045,0.1843,-0.2605,0.0437
19,535.1454,143.4717,-1.7551,-0.3607,-0.4367,0.9415,-0.4727,0.0512,-0.1828,0.329
31,533.3555,140.2672,-1.8339,-0.1647,-0.5189,0.7603,-0.2559,0.0957,-0.2841,-0.0042
