syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
5,112.0397,78.1488,-1.5722,-1.0851,-5.1069,-6.0428,3.1998,-0.3207,1.5516,0.1288
5,110.7393,79.2002,-0.9032,-1.3155,4.0279,1.3693,0.118,-0.462,1.8394,-0.1774
5,111.715,80.1699,-1.2967,0.1622,-0.4832,0.083,-1.3403,0.1738,-0.9693,0.0281
5,115.0135,79.7148,-1.1814,-0.415,-0.7011,-0.5793,-2.3192,0.7287,-0.8494,-0.5978
5,119.4329,78.2459,-1.0231,-0.2967,-0.7318,-1.0543,-2.321,0.8904,-0.9824,-0.508
5,123.5187,75.9732,-0.8783,-0.0371,-0.4026,-0.8354,-2.2028,0.4245,-0.942,-0.5935
5,127.165,73.592,-0.8033,0.2166,-0.0376,-0.8318,-2.0846,-0.2306,-0.8095,-0.6872
5,130.8137,70.9644,-0.7723,0.2676,0.1379,-0.6239,-1.68,-0.2363,-0.5587,-0.9144
5,134.1909,68.5043,-0.6673,0.3461,0.2603,-0.825,-1.6849,-0.1226,-0.5836,-0.706
5,137.9509,65.0118,-0.5521,0.3835,0.3739,-0.8384,-1.2831,-0.4084,-0.5224,-0.5116
5,142.3768,61.4863,-0.449,0.4878,0.6737,-0.8955,-1.3116,-0.58,-0.4493,-0.3514
6,147.4793,58.5113,-0.4338,0.4737,0.3879,-0.8192,-1.2744,-0.6458,-0.5425,-0.5401
6,151.1645,56.3468,-0.4519,0.45,0.4093,-0.7018,-0.9498,-0.6154,-0.3338,-0.3038
7,155.3282,54.5077,-0.4386,0.4045,0.5562,-0.767,-0.7251,-0.9948,-0.4668,-0.2221
7,158.1389,53.7337,-0.4418,0.4263,0.5336,-0.5603,-0.6585,-0.809,-0.5281,-0.336
7,160.5934,54.5944,-0.3409,0.5806,0.7885,-0.4363,-0.8183,-1.1176,-0.8019,-0.3307
7,162.5148,54.621,-0.3278,0.6837,0.7339,-0.2733,-0.929,-0.9389,-1.1387,-0.0762
7,162.8855,53.2638,-0.2827,0.6548,0.7908,-0.0746,-1.0595,-0.753,-0.5513,-0.1838
7,163.5221,52.6104,-0.2565,0.609,0.7649,0.0971,-0.8361,-0.8893,-1.0147,0.0298
7,163.4238,53.3448,-0.2152,0.7528,0.832,0.0727,-0.9282,-0.6746,-0.6697,0.26
7,164.012,52.2122,-0.2595,0.7459,0.9072,0.1987,-0.6768,-0.7704,-1.1469,0.0776
7,164.0778,51.4999,-0.2696,0.7638,0.9775,0.3558,-0.6414,-0.7565,-1.4613,0.1811
7,164.2633,50.802,-0.2758,0.7716,1.1563,0.3971,-0.3826,-0.7541,-1.6761,0.2514
7,164.9426,50.4948,-0.2618,0.7815,1.1813,0.3904,-0.4164,-1.1019,-1.7891,0.2272
4,166.2234,49.582,-0.2765,0.8419,1.3126,0.4458,-0.2309,-1.1147,-1.435,0.2885
4,167.8153,49.3311,-0.2597,0.8761,1.5049,0.4614,-0.1588,-1.2739,-1.5,0.3029
