syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
17,411.6928,57.5132,-3.0967,0.7225,1.825,0.2944,2.3835,3.1341,-2.6524,-2.063
17,411.7176,56.9676,-0.6066,-3.841,6.2892,0.8571,-0.6847,-5.6975,-0.6771,-3.2836
17,410.4241,57.8057,3.1402,-20.2424,9.1085,-1.7111,-4.1037,3.5012,4.4673,-1.7647
17,409.1393,57.9308,3.0363,-9.4396,4.7865,-0.8986,-2.4761,2.127,2.526,-1.6243
16,407.6707,57.1924,3.0488,-5.8746,2.6559,-0.6391,-1.1467,1.3737,1.3865,-1.1837
16,404.8842,57.041,2.9662,-2.6211,1.6186,-0.5462,-0.4555,0.8837,0.4222,-1.0397
16,401.1545,56.319,2.9829,0.3662,0.1304,-0.5368,0.1093,0.2677,-0.5611,-0.9222
16,393.9556,56.0635,3.0144,0.0754,0.2402,-0.4911,0.0893,0.3021,-0.2969,-0.9193
16,386.9531,55.809,2.8942,-0.6454,0.699,-1.204,-0.1477,0.368,-0.1199,-1.0408
16,380.1458,56.4014,2.8196,-0.5831,0.5885,-1.3407,0.0075,0.0946,-0.2687,-0.8445
16,372.6918,57.9059,2.8159,-0.0577,0.7009,-0.7993,0.1024,-0.1209,-0.545,-0.4965
16,365.8194,59.6577,2.8478,0.0808,0.559,-0.3486,0.0338,-0.1698,-0.7118,-0.3829
16,359.3976,61.2852,2.7764,0.6312,0.0955,0.4056,0.0739,-0.1481,-1.0097,-0.0032
16,352.1685,63.5969,2.7491,0.1495,0.1306,0.7776,0.0595,-0.0633,-0.9355,0.1748
14,347.5072,65.3474,2.7631,0.3094,0.3328,1.0303,0.2724,-0.1647,-1.0212,-0.2681
14,341.8245,68.3468,2.7142,0.4635,0.3078,0.6933,0.2652,-0.0361,-0.8298,-0.1619
14,335.395,70.8624,2.6441,0.3539,0.2532,0.5242,0.2124,0.102,-0.8129,-0.2386
14,328.1655,74.258,2.5942,0.3985,0.3394,0.5287,0.414,-0.0631,-0.6485,-0.2482
14,321.4269,77.6452,2.5363,0.431,0.2708,0.506,0.2624,0.0975,-0.7079,-0.4008
14,314.7596,80.5087,2.5524,0.4182,0.1603,0.3796,0.2716,0.0696,-0.6457,-0.1754
14,308.4367,84.1061,2.5927,0.3865,0.1479,0.3455,0.4082,-0.1926,-0.5652,0.0718
14,301.6534,87.7094,2.6142,0.3749,0.0508,0.1881,0.3079,0.0308,-0.5308,0.0684
14,295.3589,90.5731,2.6397,0.3915,-0.081,-0.0708,0.293,0.0905,-0.4963,0.1487
14,289.9871,92.625,2.5683,0.4074,-0.1644,-0.0673,0.3171,-0.0404,-0.69,-0.1329
14,286.6952,92.9544,2.5255,0.2158,-0.324,-0.2963,0.2287,0.3185,-0.4845,0.0476
14,284.2725,93.5043,2.5137,0.238,-0.3203,-0.0963,0.3933,0.3848,-0.4782,0.0945
14,280.2484,94.5312,2.5417,0.2196,-0.2037,0.2484,0.256,0.2626,-0.2753,0.0899
14,277.7737,95.4924,2.5753,0.2486,-0.2049,0.1471,0.2478,0.089,-0.4816,-0.0857
14,273.0773,97.9358,2.6345,0.3544,-0.0357,0.2545,0.3847,-0.0952,-0.4802,-0.175
14,268.9773,100.1227,2.5491,0.5124,0.1119,0.2226,0.4626,-0.128,-0.5951,-0.1626
14,263.859,102.6983,2.59,0.5409,0.1487,0.1997,0.2523,-0.1093,-0.648,-0.0193
14,257.9269,105.1594,2.5797,0.5281,0.22,0.2699,0.4589,-0.1761,-0.5057,-0.3878
14,251.268,107.5255,2.5789,0.495,0.1227,0.0934,0.5186,0.1699,-0.5716,-0.0997
14,244.8027,108.9193,2.6474,0.5785,-0.0064,-0.0445,0.4555,0.0853,-0.7523,-0.1287
14,239.3775,111.402,2.6504,0.5255,0.0896,0.1081,0.218,0.2308,-0.5278,0.0357
14,232.3672,113.2066,2.6768,0.547,0.0344,0.1127,0.1933,-0.1133,-0.4652,-0.172
14,226.7738,115.8575,2.6223,0.5199,-0.0412,0.083,0.2854,0.3319,-0.4813,-0.0449
14,219.2701,117.9613,2.6638,0.5256,0.0875,0.2215,-0.0271,0.071,-0.3076,-0.1629
14,213.0586,120.4821,2.6892,0.5737,0.091,0.3763,0.1912,-0.0772,-0.3638,-0.1478
14,208.5622,123.109,2.6621,0.5261,0.0158,0.0791,0.0806,-0.0015,-0.3934,-0.1632
14,204.1607,125.4385,2.6473,0.5172,0.0995,0.0689,0.0421,-0.156,-0.3038,0.0701
14,198.7826,126.4872,2.7171,0.4862,0.0265,-0.2001,0.0309,-0.0821,-0.3202,0.2686
14,193.5309,128.9699,2.6304,0.4113,-0.0622,-0.3351,-0.1507,0.064,-0.2036,-0.1736
14,187.6484,130.8266,2.6545,0.4159,-0.0451,-0.3261,-0.1462,-0.1087,-0.0938,-0.0715
14,182.5597,132.224,2.6304,0.4502,-0.0429,-0.3829,-0.1986,0.1381,-0.0626,0.3445
14,177.1123,133.7313,2.6268,0.4099,-0.1511,-0.2034,-0.0534,-0.1187,0.0854,0.2499
14,171.7224,136.4773,2.5798,0.3822,-0.0885,-0.2965,-0.1054,0.0394,0.0268,0.3731
14,166.4208,139.0217,2.6162,0.3256,-0.1993,-0.5187,-0.0963,0.0754,-0.2614,0.1027
14,160.0606,141.8761,2.6962,0.3361,-0.0777,-0.4595,-0.0681,-0.0778,-0.2068,-0.2381
14,154.1338,144.1764,2.6884,0.381,-0.099,-0.6598,-0.0095,0.2328,-0.2271,0.1754
14,149.5494,146.3843,2.6865,0.3497,-0.1039,-0.6568,-0.0902,0.0319,0.0387,0.1246
14,143.8131,147.4527,2.6244,0.3993,-0.0618,-0.5646,-0.1552,0.0502,-0.1178,-0.0522
14,138.8017,149.5433,2.5786,0.4421,-0.0635,-0.5008,-0.2619,0.0417,-0.2443,0.0415
14,133.8627,151.8702,2.5672,0.3885,-0.1632,-0.4689,-0.1751,0.1174,0.12,0.051
14,129.0968,155.2415,2.6253,0.4672,-0.1357,-0.2779,-0.1633,-0.0181,0.0532,0.4687
14,123.8033,156.9335,2.5673,0.3781,-0.1519,-0.5029,-0.2135,0.1088,-0.4411,0.0349
14,120.7511,159.4881,2.5834,0.2892,-0.2508,-0.5154,-0.1414,0.115,-0.003,0.4184
14,118.1784,162.2211,2.5359,0.1863,-0.2687,-0.5844,-0.3343,0.1314,0.0085,0.6058
4,115.0966,164.4243,2.4651,0.3192,-0.1405,-0.5901,-0.0556,0.1205,0.1549,0.5577
4,112.8153,165.9087,2.4166,0.3554,0.3086,-0.7046,0.5263,-0.205,-0.1443,0.557
4,110.7223,166.7345,2.3232,0.5058,0.4786,-0.5114,0.523,-0.1,-0.1073,0.465
4,111.3552,167.8385,2.355,0.5183,0.5997,-0.4363,0.5925,-0.0655,-0.2096,0.5216
4,111.7918,168.3805,2.3347,0.4365,0.4099,-0.4232,0.457,0.0267,-0.0274,0.3958
4,113.6516,168.7799,2.1928,0.1842,0.2125,-0.1262,0.4059,0.1491,-0.0956,0.3582
4,114.9567,169.0321,2.0876,0.0053,-0.0762,0.5551,0.4339,0.2207,0.1222,0.5964
4,117.3438,170.5447,2.0002,-0.0334,0.0688,0.9446,0.2867,0.3501,0.0382,0.2493
4,119.1481,172.9407,1.9396,-0.1412,0.0479,1.294,0.2941,0.3283,0.0151,0.2687
