syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
47,274.2354,120.8957,-1.9402,4.1862,1.5812,4.392,-1.5055,0.0652,0.2391,3.1623
47,274.0941,119.7038,-2.1783,2.5997,2.3185,1.4642,1.6939,-0.7514,1.864,-1.1466
47,271.6915,116.2334,-2.1788,0.6003,0.6969,0.5951,-1.098,0.5001,1.1681,-1.2554
47,267.4865,113.5608,-2.2914,0.9528,0.1018,0.7516,-1.2157,0.5214,0.7055,-0.0355
47,264.2493,110.9317,-2.3542,0.8014,0.696,0.9876,-0.7845,0.5015,0.5433,-0.4395
47,262.244,108.6364,-2.3529,0.6748,0.512,1.0579,-0.7031,0.0456,0.6539,-0.3335
47,259.9051,107.8565,-2.3605,0.7952,0.4918,0.9566,-0.7008,0.1669,0.4735,-0.2224
47,258.8669,106.6321,-2.3541,0.7087,0.4484,0.8007,-0.4692,0.4256,0.4571,-0.2424
47,255.5342,105.3922,-2.3525,0.8252,0.5668,0.9673,-0.6228,-0.0421,0.589,0.0124
47,252.0628,104.4784,-2.3922,0.8782,0.5755,0.8747,-0.5979,0.2293,0.4711,-0.1708
47,249.1518,103.7301,-2.5026,1.0004,0.6778,0.7876,-0.7399,0.2746,0.5885,-0.5433
47,246.1907,102.8887,-2.4832,1.0492,0.6698,0.5554,-0.4352,0.285,0.511,-0.2988
47,243.0822,100.5121,-2.5267,1.0069,0.6503,0.334,-0.5354,0.2072,0.3639,-0.2342
47,240.4714,99.3477,-2.5338,0.8715,0.6205,0.2374,-0.5872,0.3886,0.5222,-0.2802
47,239.0607,97.6045,-2.5001,0.9609,0.4567,0.2704,-0.5064,0.1468,0.5781,-0.2538
47,236.5344,95.7733,-2.4671,0.9471,0.4435,0.2692,-0.5663,0.3359,0.1478,-0.4345
47,234.591,93.4475,-2.4581,0.8581,0.3788,0.4341,-0.6916,0.3967,0.4722,-0.4625
47,230.9436,91.5152,-2.5189,0.8234,0.2537,0.2902,-0.7061,0.3741,0.6478,-0.468
47,227.7658,89.5937,-2.46,0.8719,0.271,0.4628,-0.7059,0.1263,0.5013,-0.2012
47,224.2141,89.3648,-2.5148,0.9372,0.4103,0.3892,-0.5771,0.0237,0.178,-0.1057
47,221.0514,88.983,-2.5847,0.8342,0.4772,0.4092,-0.8632,0.3572,0.5816,-0.473
47,217.9872,87.8107,-2.578,0.8552,0.4764,0.4261,-0.778,0.2674,0.415,-0.4535
47,214.4295,86.4598,-2.589,0.8496,0.4918,0.3156,-0.8004,0.1063,0.2064,-0.3336
47,212.0078,86.7104,-2.6588,0.7981,0.5918,0.506,-0.6007,0.098,0.2768,-0.4562
47,207.1511,85.8934,-2.7576,0.7943,0.4633,0.4907,-0.7727,0.3173,0.4785,-0.3156
47,203.2279,84.5981,-2.7481,0.756,0.4348,0.6069,-0.8854,0.1731,0.4443,-0.3863
47,200.2349,83.4649,-2.7729,0.6964,0.5444,0.6512,-0.6963,-0.0135,0.3481,-0.3122
47,197.1787,83.3648,-2.7521,0.5637,0.439,0.5248,-0.6873,0.1861,0.521,-0.3667
47,194.869,82.1236,-2.8014,0.5607,0.2766,0.5316,-0.8803,0.1243,0.5595,-0.1983
47,191.7751,82.1253,-2.7876,0.6556,0.3646,0.3905,-0.8163,0.0937,0.6306,-0.0279
