syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
9,550.6304,74.2699,-1.0408,3.3468,-1.2508,0.0945,-2.1176,-3.2161,2.8063,-7.8817
9,551.6732,72.7961,-1.385,-1.4458,-0.4639,-0.7227,-0.7519,-1.1663,0.0733,1.4522
9,550.7083,72.402,-1.4978,-0.6768,-0.5467,0.8905,-0.4712,0.997,0.4041,0.2464
9,547.8015,71.7581,-1.8131,-0.6712,-0.4164,1.3762,-0.2117,0.1108,0.0538,0.2591
1,544.7429,70.4033,-1.929,-0.5006,-0.4184,1.7165,-0.1471,-0.0204,0.0788,0.5989
1,540.486,69.6198,-2.1711,-0.4284,-0.1618,1.8435,-0.2609,0.0291,0.2515,0.3707
1,536.6111,67.7116,-2.3269,-0.3709,-0.2057,1.7434,-0.0707,-0.0216,0.2944,0.5575
1,533.8351,65.9861,-2.5704,-0.392,-0.1658,1.4392,0.107,0.1226,-0.0122,0.5898
1,530.0182,64.954,-2.78,-0.3829,-0.068,1.248,0.1479,0.0411,0.0272,0.3361
14,522.446,62.7804,-2.9685,-0.2825,-0.1478,0.8146,0.3904,0.1283,0.0132,0.3362
14,514.575,61.4954,-3.0514,-0.2075,-0.1305,0.6074,0.6385,0.1146,0.0128,0.3405
14,507.3272,60.8422,-2.9861,-0.0666,-0.0422,0.5813,0.553,0.0255,-0.009,0.2601
14,500.5255,60.3723,-3.1179,0.1706,0.1071,0.5605,0.656,-0.0632,-0.3739,0.401
14,492.7291,59.8195,-3.0994,0.2951,0.1596,0.2096,0.6883,-0.2569,-0.3887,-0.0503
14,487.2912,59.2133,-3.0529,0.3087,0.2944,0.1686,0.4889,-0.1036,-0.1959,0.0262
14,480.3094,58.9635,-3.1164,0.3836,0.2998,0.0274,0.6676,-0.1582,-0.3506,0.2205
14,472.9098,58.7547,-3.1299,0.368,0.2626,-0.0844,0.5644,-0.1808,-0.3326,-0.0247
14,466.6429,58.1639,-3.1398,0.3393,0.2423,-0.095,0.5321,-0.0769,-0.4671,0.0419
14,462.1805,57.4214,3.1144,0.4577,0.3224,-0.097,0.7031,-0.3973,-0.1504,-0.0965
14,457.5541,56.7204,-3.0907,0.5244,0.4606,-0.1267,0.5978,-0.2653,-0.2279,-0.137
14,453.5972,55.7864,-3.0907,0.5645,0.3583,-0.1392,0.533,-0.2854,-0.2278,-0.1183
