syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
4,226.0459,453.267,-0.1324,0.5555,0.3915,-0.4381,-0.4586,-3.6098,-0.2265,3.199
4,227.6316,453.4553,0.1948,1.9839,-2.3321,1.0063,-0.4802,-1.3869,2.6114,-0.1031
4,231.7899,452.6387,0.0937,0.283,1.2265,0.3573,-0.6642,-1.2329,-1.3289,0.0576
4,238.1276,451.8963,0.0619,1.0965,1.3742,0.4294,-0.1813,-0.7164,-0.5416,0.257
4,243.5311,451.9882,0.0106,1.057,1.5984,0.1086,-0.0121,-0.6318,-1.2025,-0.4612
4,247.5668,450.409,-0.0332,1.0132,1.5825,0.3019,0.1274,-0.6762,-0.9235,-0.0444
4,249.8254,449.5387,-0.1167,1.0031,1.6194,0.5582,-0.1549,-0.4917,-1.0398,-0.3916
4,251.1752,448.3325,-0.1543,1.0062,1.4537,1.05,-0.1753,-0.1403,-0.6556,-0.3194
4,251.69,446.3705,-0.2663,0.8318,1.1142,1.1369,-0.005,-0.0399,-0.671,-0.3151
4,250.4304,444.3844,-0.3493,0.762,0.749,1.517,-0.5075,0.1129,-0.4785,-0.3158
4,247.9982,442.6388,-0.4592,0.3816,0.3475,1.8654,-0.5382,0.3211,-0.4623,-0.4174
4,244.6181,439.6451,-0.62,0.0802,0.0626,2.5055,-0.5012,0.5578,-0.0044,-0.1001
4,242.4636,434.7835,-0.8296,-0.0785,0.0022,2.8129,-0.7608,0.4208,0.1851,-0.0543
4,240.0207,429.861,-1.0709,-0.1584,0.2157,2.946,-0.8771,0.5598,0.2957,-0.2854
4,237.6514,426.3608,-1.1508,-0.0169,0.2533,2.6721,-1.0089,0.3768,0.182,-0.0842
4,235.2154,421.5481,-1.3877,0.155,0.377,2.3337,-0.7172,0.4899,0.2762,-0.0381
4,234.2302,416.3224,-1.5192,0.3759,0.6362,1.9624,-0.4841,0.2609,0.3269,0.1303
4,231.5129,410.73,-1.6495,0.6698,0.6202,1.4891,-0.4145,0.1925,0.2596,0.0559
4,229.5329,403.344,-1.794,0.8326,0.5172,1.0728,-0.4711,0.2332,0.3491,0.0263
4,225.2513,396.5337,-1.9282,0.7438,0.4127,1.0833,-0.3679,0.271,0.5621,0.2509
4,220.5548,390.81,-1.9899,0.7582,0.5605,1.0572,-0.3063,0.1948,0.2594,0.1313
4,217.0521,387.4195,-2.107,0.8038,0.5612,1.1315,-0.5039,0.2653,0.4567,0.1249
4,214.0423,385.5264,-2.1559,0.7599,0.6953,1.2043,-0.5154,0.1467,0.4835,0.2279
4,210.6585,385.3871,-2.2921,0.8687,0.7719,1.2184,-0.5708,0.037,0.3691,-0.0103
4,207.9706,385.7168,-2.3869,0.8353,0.7517,1.5013,-0.6799,0.0685,0.2436,0.0643
4,203.9664,386.7066,-2.6234,0.8778,0.6728,1.6385,-0.8517,-0.0197,0.1809,0.1944
4,199.2108,387.4988,-2.7598,0.7379,0.8893,1.7933,-0.9368,-0.2878,-0.0523,0.1865
4,195.2011,388.3033,-2.7829,0.9293,1.1007,1.8726,-1.2598,-0.389,0.0986,0.0066
1,189.0314,389.83,-2.9022,0.9264,0.9414,1.6751,-1.2355,-0.3557,0.4978,0.1153
1,182.9524,391.474,-3.0713,0.9381,0.9668,1.4793,-0.8659,-0.5282,0.2673,0.2015
1,177.2296,392.3556,-3.1,0.9583,0.9647,0.9817,-0.7442,-0.6383,0.0673,0.3162
1,171.8773,392.6846,3.1004,0.8729,0.8004,0.4504,-0.5955,-0.392,0.1753,0.3923
1,165.0465,392.7859,3.0401,0.8745,0.8159,0.4433,-0.7389,-0.4326,0.3574,0.2585
8,158.7168,393.6017,2.9842,0.894,0.7211,0.2181,-0.6156,-0.5805,0.4401,0.4491
8,152.156,395.5036,3.0259,0.9422,0.7541,0.2925,-0.7655,-0.4887,0.3616,0.3452
8,145.9611,397.1115,3.0512,0.8724,0.7954,0.2568,-0.5309,-0.479,0.1241,0.431
8,140.245,398.5885,2.9498,0.9612,0.7159,0.1773,-0.7722,-0.4944,0.1881,0.3851
8,134.3427,400.069,3.0014,0.9105,0.8884,0.1807,-0.6622,-0.6744,0.3553,0.597
8,128.5815,401.5881,2.9223,0.9219,0.7011,0.1661,-0.5108,-0.7528,0.0706,0.4137
8,124.0095,403.9142,2.8421,0.9771,0.6453,0.106,-0.4654,-0.576,0.3579,0.2629
8,120.7059,405.3759,2.8165,0.9774,0.5699,0.2147,-0.2719,-0.4622,0.2601,0.245
8,119.6592,406.2607,2.7503,0.9249,0.536,0.1242,-0.3315,-0.6936,-0.2914,0.3024
8,117.5692,406.7216,2.7715,0.9278,0.408,0.2066,-0.4648,-0.576,-0.0146,0.3631
8,116.9167,408.2486,2.6962,0.8346,0.3939,0.1367,-0.5234,-0.4986,-0.2046,-0.1727
8,115.2414,408.2827,2.6901,0.7696,0.5083,0.1502,-0.5444,-0.3842,-0.4891,0.2112
8,113.8704,408.0682,2.7032,0.6943,0.3178,0.2581,-0.4089,-0.4646,-0.1574,0.2723
8,112.9946,408.475,2.7043,0.6517,0.5566,0.2895,-0.2839,-0.4401,-0.359,0.042
8,112.1273,409.2821,2.6877,0.6823,0.4073,0.3896,-0.4065,-0.4635,-0.1327,0.5795
8,111.8223,410.0741,2.6352,0.7307,0.207,0.34,-0.2814,-0.1197,-0.1555,0.2648
8,111.5555,410.6989,2.6855,0.7647,0.4694,0.4807,-0.1518,-0.0911,-0.1316,0.333
8,111.6245,410.8995,2.6591,0.799,0.3111,0.5165,-0.3265,-0.0328,0.0414,0.3543
8,111.4165,411.7089,2.6995,0.8792,0.3163,0.4284,-0.3326,-0.2044,-0.121,0.4676
8,111.3189,411.4673,2.6839,0.6878,0.5994,0.51,-0.2332,-0.2707,0.0715,0.2674
