syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
19,555.7283,431.691,-1.4853,-5.8825,0.6562,-1.1809,-2.2953,1.751,-0.9158,-1.3062
19,555.6201,431.4237,-1.7297,-6.6356,1.2455,-3.7863,2.831,0.0589,0.592,0.8372
19,553.8289,431.4319,-1.1351,-1.6733,1.1437,0.4663,-0.8154,0.0045,-0.3189,-0.2601
19,553.8009,428.9182,-1.3465,0.6497,1.9106,0.3355,0.169,-0.1477,-0.3331,-0.2656
19,553.5442,424.7096,-1.4041,1.0314,1.6802,0.6314,-0.2263,-0.1963,-0.3231,-0.255
19,552.5885,421.176,-1.4886,0.9932,1.3462,0.6078,0.0554,-0.309,-0.4987,-0.5694
19,551.7855,416.3909,-1.5567,1.0241,1.1184,0.5269,-0.078,-0.2299,-0.4924,-0.4727
19,551.0538,411.5213,-1.5509,1.275,1.317,0.5133,0.0149,-0.1129,-0.1862,-0.5713
19,551.0974,406.1663,-1.5849,1.5023,1.642,0.3085,-0.1708,-0.0336,0.1646,-0.6259
19,551.0492,403.0311,-1.5512,1.5805,1.8302,0.0709,-0.1261,-0.0895,0.2201,-0.6179
19,551.4604,398.2097,-1.6062,1.2437,1.5049,-0.0836,-0.2103,-0.1699,0.0824,-0.4657
19,552.257,393.2445,-1.6268,1.0839,1.2518,-0.1961,-0.0061,0.0028,-0.2838,-0.2914
19,552.6163,388.3316,-1.6457,1.0147,1.2125,-0.1565,0.026,-0.0524,-0.213,-0.1281
19,552.3211,385.465,-1.6457,1.039,1.1886,-0.0922,-0.0047,-0.6238,-0.1569,0.1205
16,552.367,380.6612,-1.6157,1.3759,0.2024,-0.5504,0.1624,-0.5205,-0.4125,-0.0792
16,552.2034,376.7793,-1.6154,1.3911,0.3901,-0.5818,0.215,-0.4549,-0.2501,0.0183
16,551.229,371.0627,-1.5764,1.6071,-0.3158,-0.2604,0.446,-0.6432,-0.7505,0.2289
16,550.2049,365.7595,-1.6097,0.6721,0.5064,0.2857,0.1908,-0.6102,-0.3699,0.543
16,549.3757,360.5963,-1.6097,0.6859,0.8446,-0.0055,0.241,-0.2849,-0.3153,0.3696
16,549.4416,355.6133,-1.6654,0.7371,0.7135,0.1016,0.5166,-0.4037,-0.3955,0.4869
9,549.5568,351.146,-1.6753,0.9014,0.9128,-0.1083,0.4334,-0.4244,-0.2911,0.1893
9,549.9631,347.3506,-1.6502,1.1973,1.2813,0.0069,0.1258,-0.3977,-0.2788,-0.0294
1,549.7449,343.8625,-1.5896,1.3765,1.3852,0.0324,0.129,-0.4502,-0.1147,0.2767
1,550.5024,340.7782,-1.6245,1.4807,1.5578,-0.0439,-0.0129,-0.3898,-0.1468,-0.0508
1,550.0643,335.9713,-1.6507,1.3676,1.3711,-0.0619,-0.1616,-0.1874,-0.2813,-0.2469
1,549.0784,332.3077,-1.6311,1.2546,1.3435,-0.1388,-0.1628,-0.3323,-0.3762,0.0223
1,549.3574,328.5088,-1.6497,1.2042,1.382,-0.124,-0.1297,-0.3441,-0.1343,0.1285
1,548.975,324.914,-1.6725,1.1166,1.4261,0.1241,0.1652,-0.3606,-0.3002,0.0341
1,547.6636,320.5592,-1.7217,1.0416,1.3177,-0.0339,-0.0282,-0.1307,-0.2273,0.0828
1,547.8849,315.4534,-1.7256,0.8052,1.0128,-0.0524,0.0065,-0.0913,0.1418,0.008
1,546.7771,310.168,-1.7025,0.8192,0.9711,0.0985,0.1514,-0.3752,0.0197,0.0919
1,544.878,305.9129,-1.7781,0.7698,0.932,0.1656,0.2408,-0.3935,-0.0689,-0.1496
1,543.5937,302.4345,-1.8496,0.7419,1.0015,0.4709,0.2852,-0.3549,-0.2023,-0.0428
1,543.0221,298.1276,-1.81,0.8148,1.1106,0.5198,0.2479,-0.3633,-0.1256,0.1438
1,542.5878,294.1759,-1.8728,0.7709,0.9529,0.5229,0.2534,-0.3015,0.016,0.0071
1,543.2425,289.5583,-1.8939,0.9148,1.1601,0.8085,0.4406,-0.4874,-0.1327,-0.2208
1,540.988,284.9752,-1.8372,1.0765,1.1031,0.6974,0.3909,-0.2311,0.025,0.047
1,539.2791,280.4957,-1.8535,1.0469,1.1487,0.6169,0.4609,-0.4227,-0.0838,0.0881
1,537.0809,275.8896,-1.8365,1.1029,1.2249,0.5688,0.3745,-0.4525,0.0081,-0.1765
1,535.0761,272.0775,-1.9266,1.1354,1.2747,0.6647,0.2932,-0.507,0.1347,-0.1233
1,533.0882,268.4088,-1.9146,0.9741,1.1017,0.7067,0.3026,-0.3691,-0.0444,-0.0063
1,531.8644,264.9485,-1.9631,0.9182,1.0526,0.562,0.2694,-0.1922,-0.1838,0.2153
1,528.5707,260.5102,-1.9893,0.8459,0.9262,0.4737,0.1037,-0.2572,-0.0911,0.1142
1,526.1854,256.562,-2.0459,0.8072,0.9935,0.3699,0.2187,-0.4322,-0.3249,-0.0522
1,523.954,252.0348,-1.9939,0.764,0.9729,0.1556,0.327,-0.3357,-0.2038,0.0592
1,522.5277,249.378,-2.0302,0.8809,1.0515,0.1667,0.0987,-0.0489,-0.2648,-0.1537
1,522.2397,245.9313,-2.0325,0.9091,1.0129,0.0811,0.2316,-0.2046,-0.2124,-0.1295
1,521.6887,242.2799,-2.0425,1.0284,1.0807,0.2246,0.2241,-0.2682,-0.0511,0.175
8,520.1253,238.4172,-2.0387,1.0404,1.0741,0.2259,0.1884,0.0758,-0.1556,-0.1482
8,518.5813,235.4486,-2.0259,1.1336,1.0949,0.2997,0.3445,0.0873,-0.2831,-0.0819
8,516.916,231.0089,-2.0458,1.0263,0.9883,0.1891,0.3123,-0.0777,-0.0244,0.1122
8,514.551,226.0378,-1.9753,1.0314,0.9031,0.1779,0.0681,-0.0426,-0.1321,-0.1159
8,512.0533,221.227,-1.964,1.0908,0.9918,0.2342,0.2633,0.0599,-0.4287,0.1342
8,510.9869,218.2987,-1.9408,1.0491,1.0739,0.2837,0.3518,-0.2411,-0.0837,0.0545
8,509.079,214.9238,-2.0165,1.0833,1.042,0.114,0.2308,0.0016,-0.0166,-0.1216
8,506.3351,210.7731,-1.9991,1.0664,0.9828,0.3387,0.0694,-0.0661,-0.1,-0.0067
8,504.4801,207.3187,-2.0156,1.0478,1.0452,0.4478,0.0981,-0.1144,0.0346,0.0367
8,502.4137,203.7545,-2.0392,1.0551,1.0284,0.432,0.2658,0.0378,0.0028,0.1025
8,501.7967,200.246,-1.975,1.0221,0.9525,0.2193,0.1004,0.0397,-0.08,-0.0953
8,501.4152,198.588,-1.9778,0.9793,0.872,0.1731,0.1096,0.1183,-0.1243,-0.1686
8,500.7893,195.1634,-2.0306,0.9139,0.8665,0.2293,0.2231,0.2714,-0.1345,-0.0796
8,497.7463,191.4008,-2.0272,0.8727,0.9358,0.2453,0.0556,0.2838,0.1141,-0.0664
8,496.342,187.2031,-2.0113,0.8822,0.638,0.1335,0.0744,0.1735,-0.083,-0.0032
8,495.9728,183.0181,-2.0077,0.8841,0.5863,-0.0187,0.1197,-0.0264,-0.2349,0.0896
8,494.3694,180.4131,-1.9617,0.8726,0.808,0.0866,0.135,-0.2079,0.1076,0.0027
8,492.9887,176.4043,-2.038,0.8914,0.6845,0.1187,0.0711,0.0906,-0.0892,0.1253
0,491.5104,173.7454,-2.0712,0.954,0.8191,0.2755,0.1695,-0.119,-0.0329,0.1455
0,490.7608,169.843,-2.061,0.8833,0.7772,0.073,0.1896,-0.2363,-0.1277,-0.0411
0,487.9044,166.8896,-2.0812,0.7497,0.6212,0.3853,0.0454,-0.1106,-0.0505,-0.0879
0,485.2409,163.613,-2.1152,0.7746,0.6893,0.542,-0.1602,-0.1221,-0.3299,-0.034
0,481.9255,160.6109,-2.1279,0.7398,0.7276,0.5219,-0.3003,-0.0934,-0.05,0.0211
0,479.0676,158.0982,-2.1171,0.6761,0.7071,0.6354,-0.0379,0.0956,0.071,-0.1204
0,474.7131,154.9036,-2.2306,0.7005,0.4913,0.7754,-0.0355,0.0492,-0.2489,0.0097
0,471.5103,151.5234,-2.1968,0.7806,0.7374,0.978,0.0686,-0.0473,-0.3912,-0.0024
0,469.0652,148.5966,-2.2354,0.8845,0.8969,0.7686,-0.1457,-0.0638,-0.3426,0.1327
0,465.0947,145.8983,-2.2916,1.0234,1.0778,0.7956,0.0669,-0.2409,-0.5064,0.1663
0,462.2769,143.6412,-2.3054,0.9569,0.9308,0.5533,-0.017,-0.1343,-0.3334,-0.0214
0,461.279,141.4842,-2.3946,1.021,1.0912,0.6509,-0.0795,-0.1908,-0.3243,0.0079
0,459.5196,139.2187,-2.3716,1.0978,1.2226,0.944,-0.2596,-0.2113,-0.17,-0.212
0,458.1159,137.0499,-2.4041,1.1232,1.2126,0.7881,-0.1263,-0.4791,-0.2162,-0.2245
0,456.0977,134.4175,-2.4225,1.1281,1.4309,0.9606,-0.1501,-0.3273,-0.5424,0.0594
0,453.536,132.9914,-2.4329,1.1228,1.5749,0.8924,-0.4646,-0.1054,-0.1423,-0.1647
0,451.4442,131.0423,-2.5127,1.228,1.5471,0.7552,-0.3897,-0.2413,-0.1934,-0.1563
0,448.6836,130.8932,-2.4665,1.1219,1.3381,0.8908,-0.4391,-0.2462,-0.3403,0.0168
0,445.9234,130.4029,-2.4809,1.1523,1.353,0.7641,-0.6097,-0.1257,-0.1602,-0.2394
0,441.803,129.0274,-2.5453,1.0799,1.4055,1.0482,-0.739,0.0747,-0.2779,-0.2547
