syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
49,313.2043,265.4659,2.1361,1.176,-4.0322,2.3197,7.2544,-0.6367,-9.4208,3.4423
49,314.3832,265.6709,0.4631,-16.7828,1.5956,-0.0386,-5.0557,-8.4194,2.7928,-6.5452
49,315.3123,264.8446,-2.6788,9.0152,5.0648,-1.7689,-1.0185,-2.1032,1.2891,2.2492
49,315.9852,265.1422,-2.301,26.2825,49.6287,-0.1263,19.8828,-39.2887,-22.7243,9.4485
49,315.2424,265.8469,-2.3862,26.7624,62.5826,-14.7576,32.9644,-42.8813,-32.9805,15.2949
49,314.8192,266.4495,-2.3493,30.0024,62.2212,-5.3668,40.5804,-57.9086,-24.4023,3.7834
49,314.2284,266.5338,-2.313,29.776,62.5431,-13.2589,43.5944,-60.408,-24.9425,17.1544
49,313.8235,267.5243,-2.3157,26.3906,59.7808,-6.3865,34.9016,-53.0436,-26.8534,11.1646
49,312.8397,266.0238,0.8893,24.0279,51.9816,-6.9643,24.0755,-50.2193,-20.1795,11.6211
49,311.978,265.4254,-2.1799,21.1734,47.4503,-11.9752,21.2998,-46.5123,-18.6332,14.3953
49,312.0721,265.8074,-1.6047,18.5957,40.208,-8.248,4.6456,-34.8519,-18.0867,12.3779
49,311.9344,266.0628,-1.5747,17.6298,37.8631,-9.2849,1.7426,-35.5772,-13.3781,13.6212
49,310.5376,265.3975,-1.4859,15.7957,34.3065,-12.4202,-4.0542,-29.5019,-14.5962,14.8258
49,310.4475,266.1109,-1.3533,15.0376,32.3282,-8.8891,-9.1151,-26.271,-13.7791,13.338
49,310.2006,265.4779,-1.5316,14.6874,30.6336,-10.9522,-9.8135,-26.7403,-12.4997,13.1819
49,309.2617,264.2289,1.7698,14.0468,29.9083,-11.4531,-10.425,-24.2617,-14.1388,13.9525
49,308.5607,263.6617,1.5855,13.3363,28.3577,-9.2002,-12.4663,-22.0735,-13.8939,11.6767
7,308.1995,262.8962,1.173,12.7442,26.29,-8.1668,-12.0162,-20.0824,-13.5377,11.1902
7,309.4276,262.4502,1.743,12.2121,24.6735,-7.027,-12.2119,-18.4972,-12.3809,10.5727
17,308.6673,261.4068,-1.4425,20.4679,9.0578,-3.7958,-8.0458,-19.1187,-12.7864,8.126
17,308.6597,259.8708,-1.3954,17.9896,3.5311,-3.0957,-7.4817,-15.4353,-9.301,4.2772
17,309.2968,258.2991,-1.373,8.636,10.4475,-2.9619,-9.988,-10.4408,-2.6508,0.0799
17,308.7094,258.2613,-1.2563,6.092,1.7052,-2.1366,-5.2526,-5.4058,-0.6816,-0.1614
17,308.3242,257.2928,-2.0783,0.5007,2.2464,-2.197,-4.4695,-0.1743,2.7647,-1.809
17,308.7941,255.3733,-2.0738,0.8079,-0.4733,-0.977,-0.4162,-0.048,0.4648,0.0735
11,308.8278,254.2663,-2.0744,0.8426,-0.2509,-1.1422,0.4451,0.0477,0.1183,0.3173
0,308.9376,253.7225,-2.0523,0.8978,0.8019,-1.0827,0.147,-0.1906,0.7164,-0.2292
0,308.9393,252.4474,-2.0789,0.9199,0.6401,-0.7754,0.4141,-0.0674,0.4721,-0.2015
0,308.6708,250.7944,-2.0324,0.906,0.5935,-0.7263,0.1779,-0.0391,0.4043,0.0764
0,308.4548,248.653,-2.0789,0.8703,0.6439,-0.9752,0.2524,-0.2559,0.4634,0.2325
0,307.6698,246.8582,-2.0685,0.8937,0.7511,-0.744,0.2285,-0.1519,0.626,0.3049
0,304.4546,244.5788,-2.0387,0.9496,0.7018,-0.8005,0.0715,-0.3571,0.5497,0.0611
0,302.4959,243.2333,-2.0799,0.9105,0.627,-0.3825,0.0643,-0.1408,0.3203,-0.1051
0,297.4899,242.0012,-2.1229,0.8954,0.6249,-0.2847,-0.1762,0.0969,0.4191,0.045
0,294.1681,239.9479,-2.1476,0.7347,0.4983,0.2013,0.0809,-0.0198,0.3551,-0.0715
0,290.4615,236.5802,-2.2386,0.7799,0.5811,0.1588,-0.0309,-0.0095,0.4441,-0.0073
8,286.6456,233.8285,-2.2212,0.9258,0.6249,0.3189,0.0347,-0.3737,0.65,-0.085
8,282.2062,230.9881,-2.2521,0.8024,0.8219,0.6178,-0.1357,-0.2682,0.5344,-0.0716
8,278.3672,227.3725,-2.2379,0.9571,0.6829,0.4835,-0.1102,-0.2434,0.3135,0.0766
8,274.6948,224.0004,-2.2396,0.9731,0.6836,0.42,0.163,-0.1359,0.2725,-0.2083
8,273.7974,222.7903,-2.2535,0.9709,0.9066,0.566,0.1054,-0.1983,0.3631,-0.0938
8,271.1163,220.1578,-2.2615,1.007,0.8627,0.3695,-0.1745,-0.0981,0.3358,-0.0335
8,267.4124,217.7826,-2.2279,0.9758,0.6744,0.2486,-0.2549,-0.0201,0.4364,0.1781
8,264.2096,213.2961,-2.2102,0.8565,0.9645,0.3765,-0.1924,-0.047,0.4613,0.2503
8,261.1103,209.6501,-2.1716,0.8472,0.8036,0.1135,-0.225,-0.0104,0.4715,-0.0273
8,257.2929,206.215,-2.2011,0.9478,0.624,0.1636,-0.0843,0.3413,0.3072,0.1165
8,253.8314,204.7585,-2.2108,0.9012,0.677,0.0225,-0.0932,-0.0152,0.5638,0.1487
8,251.7878,200.7549,-2.2293,0.8194,0.77,0.115,-0.1151,-0.0519,0.3993,-0.0361
8,250.0405,197.5549,-2.1525,0.9127,0.5214,0.1311,-0.1987,0.1816,0.3342,0.0225
8,246.7445,193.8142,-2.211,0.8297,0.4708,0.1298,-0.0791,0.383,0.3203,-0.0555
8,245.2608,190.1573,-2.1581,0.9037,0.5595,0.2603,-0.1614,0.1338,0.3815,-0.0855
8,243.7981,187.0388,-2.1789,0.7967,0.5437,0.1756,-0.2953,0.3542,0.278,0.0111
8,241.4288,183.3533,-2.1602,0.922,0.4322,0.1379,-0.1242,0.4877,0.1294,0.0687
8,239.0396,180.2003,-2.1407,0.8096,0.6311,0.317,-0.2196,0.141,0.4442,-0.1095
8,236.2052,177.0428,-2.1204,0.9016,0.5892,0.2946,-0.2425,0.239,0.1467,0.0416
8,233.1118,174.0907,-2.1289,0.7428,0.5399,0.3959,-0.4041,0.3341,0.2855,-0.2431
8,229.1682,170.7275,-2.1715,0.7133,0.6035,0.4026,-0.4709,0.3092,0.2408,-0.3365
0,224.7482,167.6703,-2.2367,0.7659,0.6831,0.5297,-0.6651,-0.0228,0.4122,-0.372
0,219.9158,163.3744,-2.289,0.6863,0.4958,0.5857,-0.5755,0.1604,0.1082,-0.1385
0,216.6394,159.6536,-2.2966,0.6785,0.5553,0.6223,-0.5444,-0.009,0.1975,0.0494
