syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
14,155.086,38.5739,-2.8576,1.429,4.024,2.477,-3.7602,-3.3379,-2.3694
14,154.5226,37.5705,-2.7806,0.4341,1.9275,-3.3903,0.0101,-2.5957,-1.152
14,152.0853,38.7546,-2.8499,0.0614,-0.0599,0.5517,-0.1618,-1.1909,-0.8737
14,148.9407,36.9199,-2.9017,0.2197,-0.3482,-0.7032,0.8011,-1.183,0.1536
14,144.9868,35.185,-2.9537,0.2327,-0.6021,0.0897,-0.0101,-0.5421,-0.773
14,140.2101,33.5853,-3.0151,0.3875,-0.7404,-0.4056,0.6685,-0.3435,-0.0603
14,135.2039,32.7532,-2.9514,0.6221,-0.6177,-0.3657,0.3931,-0.5456,0.4679
14,131.543,32.3052,-2.9071,0.5812,-0.7623,-0.6568,0.769,-0.2998,0.1068
14,127.4183,31.4512,-2.938,0.4935,-0.5652,-0.5587,0.446,-0.3489,0.102
14,123.251,30.6269,-3.0937,0.5344,-0.6872,-0.744,0.6346,-0.4877,0.714
14,119.7287,31.2024,-3.0692,0.6013,-0.4877,-0.3675,0.4548,-0.414,0.856
0,115.9746,29.8993,-3.0856,0.542,-0.4599,-0.5318,0.1109,-0.1852,0.3812
0,111.0208,29.0501,-2.9896,0.6887,-0.5213,-0.5964,0.19,-0.5685,0.5664
6,104.2937,28.3889,-3.0574,0.9428,-0.6907,-0.5509,0.4906,-0.5055,0.7573
21,100.4162,27.8083,-3.0778,0.8368,-0.7509,-0.8318,0.3612,-0.6063,0.2058
21,96.116,28.1596,-3.0724,0.8579,-0.6998,-0.7279,0.3588,-0.5216,0.1006
21,93.6934,28.3463,-3.1012,0.9189,-0.748,-0.6221,0.6087,-0.1748,0.2669
21,90.5215,28.6419,-3.0776,1.0873,-0.8423,-0.6434,0.7244,-0.3898,0.2208
21,87.405,28.6471,3.12,0.9422,-0.9384,-0.8592,0.6654,-0.0986,-0.0502
21,86.9341,29.6495,3.1258,0.8725,-0.6605,-0.9138,0.6496,-0.4467,-0.143
1,86.1764,28.5049,3.1102,0.4129,-0.5686,-1.0178,0.7535,-0.5235,-0.1617
1,85.5159,28.6555,-3.1346,0.4125,-0.4962,-1.1294,0.8471,-0.9705,-0.0807
1,85.8068,27.9179,3.1203,0.1903,-0.6483,-1.2852,0.8148,-0.7488,-0.3534
1,87.345,27.4134,-3.1109,-0.092,-0.9283,-1.5418,0.5393,-0.5984,-0.664
1,88.6042,27.6725,3.0689,-0.4859,-1.0718,-1.4029,0.6974,-0.6741,-0.8544
1,88.5502,26.505,2.9881,-0.4827,-1.0787,-1.3474,0.8092,-0.4457,-0.5549
1,89.5049,26.7151,-3.1279,-0.4025,-1.168,-1.36,0.5426,-0.3569,-0.4514
1,89.8195,26.3163,3.07,-0.3691,-1.2299,-1.362,0.5704,-0.3352,-0.5492
1,90.053,26.4639,3.1118,-0.2181,-1.1143,-1.2757,0.661,-0.3902,-0.2981
1,89.5093,26.9566,3.0759,-0.4557,-0.7373,-1.5984,0.9625,-0.6803,-0.8995
1,88.6642,27.2005,-3.085,-0.294,-0.8093,-1.82,0.9893,-0.4083,-0.6203
1,88.1065,26.0063,-3.0211,-0.3866,-0.7899,-1.7038,0.637,-0.4809,-0.502
1,89.1937,25.5312,-3.0745,-0.3752,-0.2942,-1.5253,0.8724,-0.4451,-0.5351
1,88.577,25.4288,-3.1389,-0.4044,-0.4349,-1.2454,0.4196,-0.4355,-0.8377
1,88.2829,26.0315,-3.0932,-0.3817,-0.1593,-1.1732,0.3693,-0.2694,-0.2458
1,87.9791,25.5133,-3.0114,-0.2905,-0.1693,-0.974,0.4865,-0.1228,-0.0451
1,85.7686,24.7288,-2.971,-0.0766,0.0981,-0.6309,0.2957,-0.4241,0.2775
1,84.3813,25.0492,-3.0046,0.2581,0.084,-0.6802,0.4439,-0.3432,0.3834
1,82.2086,24.4069,-2.9591,0.2663,-0.1833,-0.5958,0.2236,0.0345,0.0076
1,81.0176,23.9887,-3.0085,0.6667,0.0299,-0.6887,0.3348,-0.2112,0.4095
1,78.8364,23.6416,-3.0685,0.8841,0.0422,-0.6689,0.253,-0.2151,0.522
1,77.4883,23.7961,-3.0469,0.9045,0.1123,-0.9238,0.8563,-0.0635,0.3387
1,75.9518,23.6367,-3.0581,0.8252,-0.2154,-1.1296,0.7446,-0.2955,0.2449
1,74.7996,24.5452,-3.1177,0.5975,-0.2246,-0.9771,0.6452,-0.1984,0.0773
1,72.7035,24.8119,3.0795,1.0057,-0.3136,-0.8694,0.5339,-0.1402,0.4696
1,70.1784,24.3281,-3.1348,1.0412,-0.3318,-0.8302,0.5766,-0.2206,0.3475
1,66.3496,24.6057,3.0818,1.2181,-0.4522,-1.152,0.8229,-0.2893,0.4355
3,62.9062,24.151,-3.1209,1.281,-0.2088,-1.0269,0.4469,0.1634,0.261
1,58.2597,23.9403,-3.1076,1.3259,0.0593,-1.0883,0.5214,-0.1548,0.1597
1,54.0298,23.5253,3.0826,1.3808,-0.1998,-1.2393,0.7124,-0.4347,0.0477
1,49.8176,24.2432,3.06,1.1648,-0.3817,-1.368,0.7587,-0.1729,0.3103
1,46.3379,24.1602,-3.1275,1.2187,-0.7289,-1.43,0.8781,-0.2827,0.3879
1,41.8458,24.4005,3.013,1.2564,-0.7994,-1.3315,0.803,-0.0957,0.4058
1,40.696,24.4286,3.0578,1.6367,-0.3933,-1.2145,1.0715,-0.2882,0.5419
1,39.6628,24.3947,3.0737,1.525,-0.454,-1.0244,0.6515,-0.2074,0.5529
1,39.2377,24.7125,2.9979,1.5395,-0.2493,-0.8916,0.5858,-0.1749,0.7276
0,38.3234,24.8405,3.0296,1.6587,-0.2599,-0.9894,0.6411,-0.5174,0.4599
0,39.0804,23.9359,3.0851,1.6443,-0.2137,-1.2853,0.5582,-0.3408,0.4975
0,38.9433,24.3818,3.07,1.6478,-0.3807,-1.1266,0.7062,-0.22,0.821
2,40.0461,24.6778,3.0174,1.3305,-0.5121,-1.2792,0.4924,0.0114,0.6077
2,41.4714,24.2148,2.998,0.9505,-0.4268,-1.2926,0.5112,0.1496,0.6265
2,45.6576,24.0414,3.0199,0.814,-0.0655,-1.4147,0.8952,-0.0045,0.2891
2,48.0913,23.997,3.0898,0.2355,0.3074,-1.53,0.7312,0.0315,0.4842
2,54.2859,24.4806,-0.3933,-0.1304,0.6512,-1.3519,0.3566,0.2201,0.2274
2,56.4393,24.9655,-0.4642,-0.5761,0.9309,-1.3978,0.5053,-0.0777,0.2037
2,57.7951,24.9099,-0.563,-0.708,1.0236,-1.0568,0.339,0.0653,-0.3774
2,58.9965,26.2693,-0.6824,-0.7294,1.3711,-0.9525,0.583,-0.1756,-0.2668
10,58.1987,27.1325,-0.6847,-0.785,1.573,-0.872,0.5998,-0.4657,-0.0645
12,56.479,29.3745,-1.0805,-4.0419,0.8597,1.6097,-0.1525,-1.0311,2.9706
12,53.6366,34.0107,-0.7919,-5.4506,0.1502,6.5129,-1.9867,-2.0045,7.8313
12,50.3469,39.9715,1.9342,-0.4383,-0.8207,-0.1203,-1.7428,-0.9528,1.2894
13,48.6824,45.4348,2.0179,0.025,-0.9725,-0.2946,-0.6135,-0.4522,0.7564
13,46.104,49.8519,1.9164,0.18,-0.9776,-0.4054,-0.2222,-0.0731,0.1919
13,45.0146,53.7886,1.8404,0.1763,-0.9167,-0.438,0.0347,-0.1141,-0.0434
13,43.8809,58.5662,1.8626,0.1505,-0.9986,-0.4317,0.0074,-0.0787,-0.1456
13,41.405,62.2185,1.9426,0.1196,-0.9816,-0.3346,-0.0834,0.0934,-0.1772
0,39.5203,66.4868,1.8387,0.1585,-0.7764,-0.3424,0.0893,0.0617,-0.0721
0,37.9185,69.4374,1.8799,0.0393,-0.9348,-0.3961,-0.3515,-0.1612,-0.0925
0,35.9084,71.8876,1.7279,0.0711,-0.836,-0.4351,-0.1524,-0.1573,0.0461
0,35.1168,73.3948,1.7353,0.1451,-0.6327,-0.3962,-0.1897,0.3914,0.0186
0,35.1657,74.6519,1.7902,0.0527,-0.7017,-0.4726,-0.1073,0.0954,-0.1707
0,35.4988,74.1062,1.8126,-0.0187,-0.7189,-0.5226,-0.1634,-0.2036,-0.1204
0,35.8061,74.3973,1.7325,-0.0086,-0.8295,-0.6026,-0.2213,0.0521,0.1037
0,35.4632,75.2171,1.7169,0.0482,-0.8726,-0.3717,-0.067,-0.4433,0.1539
0,35.6618,75.6525,1.7325,0.0553,-0.75,-0.6386,0.0294,-0.2208,-0.1771
0,34.9645,77.4975,1.775,0.002,-0.7757,-0.7019,-0.221,-0.1806,0.1529
0,34.3077,80.0299,1.6931,0.0018,-0.7897,-0.6274,0.0065,-0.2672,-0.5227
0,33.9746,81.4821,1.7992,0.0625,-0.7192,-0.6577,-0.095,0.1271,-0.0788
0,33.6306,83.2525,1.8042,0.0015,-0.6653,-0.639,-0.1253,-0.1388,-0.0354
0,30.5704,86.1359,1.8048,0.0458,-0.6235,-0.4997,-0.1476,-0.2699,0.0421
0,27.7931,87.9103,1.9235,0.054,-0.6051,-0.3665,-0.0867,-0.0628,0.3635
0,27.5866,90.3393,1.8305,0.0671,-0.8536,-0.2963,-0.2337,-0.1721,0.2374
0,26.8491,92.4578,1.7681,0.1408,-0.9721,-0.2785,-0.3136,0.0205,-0.2715
0,27.2555,95.2981,1.753,-0.002,-0.8704,-0.2731,-0.3607,-0.1437,0.0186
0,27.2506,98.6226,1.6292,0.114,-0.8448,-0.1163,-0.4025,-0.3257,-0.0482
0,28.2284,102.5587,1.597,0.1402,-0.855,-0.0718,-0.1907,-0.2252,-0.3559
0,30.0747,105.5858,1.5054,0.163,-0.95,-0.0051,-0.2095,0.1085,-0.0121
0,29.9827,108.4914,1.4381,0.1762,-0.8989,-0.1298,-0.4401,-0.0896,0.0705
0,30.7437,110.2571,1.5017,0.0335,-0.9248,0.1198,-0.0974,-0.7166,-0.0118
0,31.6783,113.802,1.296,0.1548,-0.8711,0.0407,0.004,0.1813,0.1944
0,32.7667,117.365,1.3322,0.0614,-0.8499,0.1082,-0.4508,-0.0278,-0.0805
