syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
4,288.0614,218.2823,2.5827,-4.7605,3.543,3.5525,3.8796,2.2376,-1.1523
4,289.6226,219.0975,2.7961,0.8179,-0.2382,2.3837,2.7197,-8.6219,1.5047
4,290.5405,218.4063,2.6528,0.3768,2.075,-0.3945,1.1968,0.4616,1.6869
4,292.0802,218.3269,2.591,0.6487,2.0387,-0.4976,1.3121,0.6297,1.6815
8,293.6375,216.1334,-0.3581,-2.9254,-0.9551,0.7722,-10.0505,-2.3621,8.4911
8,295.7446,214.2063,-0.5203,-0.3453,-1.7471,-1.5211,-0.5543,-0.494,-0.7781
4,296.1948,214.4433,-0.5084,-0.1287,-1.7921,-1.5901,-0.063,-0.5156,-0.687
4,296.6617,213.7982,-0.5436,-0.0629,-1.7998,-1.5079,0.0568,-0.5468,-0.8166
4,296.4916,213.9913,-0.5933,0.0205,-1.7365,-1.5012,0.1946,-0.6568,-0.9417
4,296.3494,213.2925,-0.5879,-0.0277,-1.6797,-1.48,0.0475,-0.634,-0.9033
4,296.109,212.5965,-0.6305,-0.0769,-1.7431,-1.4785,-0.0859,-0.629,-0.7747
4,295.7783,212.854,-0.6718,-0.1897,-1.8084,-1.5172,-0.1701,-0.7898,-0.7468
4,294.9457,213.2874,-0.6525,-0.1878,-1.8302,-1.4661,-0.0635,-0.7281,-0.6889
8,292.1719,214.9881,-0.6509,-1.7334,-0.2877,0.4417,-5.2319,-2.2055,3.8844
8,290.262,217.5816,2.5077,-0.7475,1.9968,0.3134,-1.2041,-0.7452,1.3532
4,290.1301,218.1698,2.5132,-0.6009,2.0444,0.2816,-1.0731,-0.5892,1.3643
4,289.8278,217.8461,2.5686,-0.5181,2.045,0.2766,-0.8174,-0.4559,1.102
4,291.351,217.1825,2.5801,-0.3869,1.9865,0.3188,-0.6893,-0.3204,0.8968
8,295.1909,217.948,-0.2042,-0.1309,-0.8941,-0.7766,-0.5935,-1.2559,0.2975
13,296.0067,217.8634,-0.1744,0.1867,-0.959,-0.6291,-0.2631,-0.7358,0.3234
13,296.936,218.8589,-0.1069,0.4292,-1.269,-0.7965,0.2139,-0.7099,0.0896
13,296.6779,220.4912,-0.1076,0.4819,-1.1936,-0.7545,0.3803,-0.5286,0.0703
13,295.7152,220.2558,-0.1553,0.2853,-1.2201,-0.9307,0.5137,-0.5069,0.0315
2,295.7696,220.7656,-0.0339,0.1358,-1.2715,-0.6362,0.1718,-0.1156,-0.2272
2,294.3383,222.2104,0.0936,-0.068,-1.0032,-1.0461,0.4463,-0.4837,-0.2938
2,293.6412,223.9455,0.1845,-0.2157,-0.3071,-1.0414,0.4846,-0.5746,-0.1166
2,292.5943,224.2741,0.2343,-0.5162,-0.5709,-1.4102,0.5758,-0.2055,-0.1693
2,292.161,225.7176,0.3686,-0.3557,-0.0807,-1.1268,0.51,-0.7537,-0.4851
2,292.3333,227.2993,0.3913,-0.3573,-0.1519,-1.0667,0.558,-0.4384,-0.3694
2,292.603,227.8014,0.5425,-0.277,0.2222,-1.169,0.7269,-0.5042,0.1358
2,293.9717,228.9049,0.6063,-0.0645,0.3823,-1.4634,0.944,-0.5421,0.0422
2,295.3668,230.0463,0.6047,0.2157,0.575,-1.144,1.0061,-0.3835,0.3178
2,296.8756,231.7839,0.6545,0.445,0.3551,-1.0543,1.112,-0.0705,0.4785
2,298.1209,234.3143,0.6411,0.4313,0.6094,-0.7622,0.823,-0.1567,0.1715
2,299.4393,236.0276,0.6404,0.6131,0.0848,-0.7732,0.7744,0.0741,0.5678
0,300.3135,238.9244,0.8467,0.5881,0.2029,-0.7265,1.0236,-0.5681,0.2048
0,300.7639,240.6107,0.9487,0.7971,0.1759,-0.7688,0.706,-0.722,0.8147
0,302.5044,243.5429,0.9277,0.8802,0.2438,-0.7892,0.7792,-0.0678,0.4713
0,302.2698,245.6678,0.9749,0.8191,0.1128,-0.9395,0.774,-0.4554,0.4882
0,301.7245,246.696,1.0994,0.8202,0.1817,-0.9281,0.8945,-0.0466,0.2679
0,301.6907,247.6934,1.1208,0.9318,0.1865,-0.805,0.8005,0.1962,0.1831
1,302.1912,250.5674,1.1199,0.8402,0.6714,-0.7033,0.6142,-0.132,0.3528
1,302.8983,251.9546,1.1328,0.7484,0.6689,-0.4547,0.6514,-0.1745,0.0471
1,303.3002,253.732,1.2448,0.7801,0.743,-0.4412,0.4419,-0.0693,0.0701
1,303.265,255.1034,1.2314,0.9642,0.7386,-0.6684,0.5289,-0.4723,-0.0763
1,304.0681,256.225,1.2904,1.1177,0.8843,-0.6352,0.583,-0.4288,0.033
1,304.6224,258.6369,1.2851,1.2258,0.5695,-0.3452,0.3054,-0.1141,-0.1845
0,304.3752,260.5858,1.2874,1.2678,0.8437,-0.2752,0.768,-0.0332,-0.1585
2,304.5909,262.3598,1.344,1.1995,0.5557,0.0295,0.4029,-0.0609,-0.2408
2,305.3583,263.5902,1.3799,1.1163,0.6593,-0.3021,0.5973,0.2472,-0.3659
2,304.4951,264.5419,1.3326,1.2636,0.5221,0.0505,0.2853,0.3084,-0.5893
2,304.1942,265.6073,1.3446,1.225,0.5536,0.0596,0.4236,0.3314,-0.6164
2,303.4725,266.1191,1.3366,1.0725,0.8139,0.0835,0.5146,0.0196,-0.8043
2,303.7872,267.1757,1.4609,0.799,0.6064,-0.4935,0.6766,0.0083,-0.6085
2,304.3647,266.914,1.4282,0.6841,0.9702,-0.3273,0.8484,-0.001,-0.5595
2,303.9941,267.2352,1.4493,0.4834,1.1408,-0.394,0.7429,-0.2986,-0.7037
2,303.1137,267.5784,1.4747,0.2423,1.1043,-0.311,0.4616,-0.14,-0.7743
2,302.1577,268.0161,1.583,0.2087,1.5957,0.0328,0.5286,-0.4248,-0.7643
0,302.007,268.2556,1.5745,0.3748,1.1742,-0.0416,0.5394,-0.1089,-0.8513
0,302.5946,269.4397,1.6409,0.3452,1.4027,-0.0826,0.2991,-0.4899,-1.0271
0,302.3368,271.4728,1.6418,0.3853,1.468,0.1299,0.525,-0.4524,-0.5037
0,301.6327,273.4362,1.7005,0.3879,1.3211,0.1158,0.6072,-0.4724,-0.2337
0,301.342,274.9861,1.8632,0.6049,1.3716,0.1455,0.9012,-0.6991,-0.4546
2,300.897,277.146,1.8101,0.4256,0.8583,-0.1554,0.677,-0.3894,-0.449
2,300.918,278.3715,1.7718,0.7547,0.4652,-0.2169,0.4976,-0.1961,-0.0634
2,299.7346,279.9918,1.8076,0.7692,0.727,-0.2641,0.7353,0.0201,-0.286
2,299.2344,281.9987,1.7919,1.0809,0.6812,-0.3212,0.7556,0.2201,-0.2928
2,298.8576,284.0804,1.9733,1.037,1.1576,-0.4113,1.1583,0.1097,-0.3105
2,297.3346,286.1645,1.9613,0.9369,1.4222,-0.5242,1.2244,-0.0708,-0.1379
2,296.2253,287.3848,2.0195,0.7205,1.4234,-0.8529,1.1886,0.4587,-0.3854
2,294.9627,287.8245,2.1314,0.6998,1.5849,-1.024,1.1161,-0.3103,-0.6309
2,294.7037,289.4236,2.2065,0.5536,1.7709,-1.0346,1.3042,0.3739,-0.8002
2,294.1397,290.2846,2.1946,0.3891,2.0669,-1.5192,1.4829,0.079,-1.0491
1,292.4708,291.2373,2.2339,0.7243,1.656,-1.531,1.3547,-0.2925,-0.6999
1,291.6056,292.7372,2.2693,0.9154,1.7923,-1.8011,1.3434,-0.2397,-0.7587
1,290.4142,292.8148,2.1963,1.0726,1.5149,-1.7345,1.3393,-0.0929,-0.5042
1,290.6246,293.8039,2.2093,0.948,1.2974,-1.6593,1.2906,-0.1681,-0.8183
1,290.522,293.8656,2.23,0.9296,0.8938,-1.4991,1.1542,0.2285,-0.5519
