syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
11,304.1862,295.0738,1.2737,1.4597,-4.0896,1.7818,-0.5733,0.7542,-0.2371
11,303.9106,294.7764,0.949,0.8753,0.7056,0.8693,-2.0558,6.4255,1.0715
11,303.9327,295.2297,1.072,1.4203,-0.6733,-0.6621,-0.1255,-0.1635,2.2861
11,303.5143,295.7427,1.1036,1.2972,-0.1422,-0.2587,-0.4901,0.7831,0.8203
11,304.0726,295.0092,1.0858,1.2912,0.1956,-0.3708,-0.6674,2.192,1.2605
11,304.367,295.948,1.1146,1.4363,0.0482,-0.2453,-0.0848,0.8648,1.8511
11,305.2072,296.0386,1.0777,1.3843,0.0868,-0.3675,-0.289,0.8695,1.394
11,305.0033,295.9721,1.0166,1.6654,0.0454,-0.172,-0.144,1.1383,1.3935
11,305.0053,295.9563,1.0186,1.4125,0.0624,-0.4147,0.2292,1.0709,1.5245
11,305.2958,296.0825,1.0706,1.7297,0.0214,-0.107,0.0484,0.568,1.3719
11,305.3976,296.1565,1.0618,1.8368,-0.0683,-0.1741,-0.1249,0.6025,1.0674
11,305.7097,296.6845,1.0847,1.9963,-0.2349,-0.0673,0.0858,0.5753,1.2468
11,306.5529,296.9524,1.0597,1.9992,-0.2334,-0.1608,-0.1733,1.0257,1.2563
11,306.0536,297.9398,0.9967,2.0283,-0.2187,-0.1031,-0.099,0.9301,1.1328
11,306.5526,299.1507,1.0678,2.1377,-0.1103,0.0744,0.1734,0.7269,1.3354
0,306.2384,300.8349,1.0666,2.089,-0.233,0.2292,-0.0464,0.714,1.3421
0,306.1423,301.6787,1.0318,2.1109,-0.2281,0.1038,-0.0882,0.458,1.0387
0,306.2199,302.2485,1.0158,1.922,-0.1291,-0.0289,-0.2409,0.4662,0.6909
0,305.4465,302.8355,1.0559,1.9582,-0.0495,0.2624,-0.3844,0.4676,0.8095
0,306.9476,303.6545,0.9879,2.0373,-0.0851,0.4542,-0.1072,0.3666,1.015
0,307.6137,304.3289,1.0139,2.1668,0.033,0.3063,-0.3258,0.8194,1.5494
0,308.467,305.2948,0.963,2.2297,0.0434,0.1013,-0.5214,0.4688,1.1951
0,308.6643,305.6565,0.9323,2.4113,0.0835,0.2343,-0.5168,0.4891,1.4932
0,308.1732,304.9676,0.902,2.4506,-0.1075,0.4811,-0.5982,0.4313,1.2411
0,308.966,304.8592,0.9599,2.3955,-0.0546,0.5176,-0.8057,0.3555,1.3848
0,309.7306,305.1457,0.9613,2.246,-0.1546,0.5058,-0.5975,0.1475,1.0232
0,309.8907,305.6148,0.9182,2.3571,-0.0607,0.7366,-0.9331,0.1459,1.1819
0,309.7115,306.0288,0.8894,2.4521,0.057,0.8257,-0.8852,0.1629,1.432
0,310.6427,305.5522,0.905,2.298,-0.107,0.995,-0.9395,-0.2373,0.6971
0,310.2988,305.4737,0.9228,2.2935,-0.0378,0.9515,-0.9567,-0.2447,0.5998
0,309.922,305.5384,0.9545,2.2838,0.045,1.0704,-1.1664,-0.2078,1.4576
0,308.7974,304.5757,0.9184,2.3012,-0.1636,0.9766,-1.2807,-0.411,0.6984
35,308.808,303.2509,0.8778,2.28,-0.6339,0.8349,-0.7143,0.3959,-0.6156
35,307.2168,300.9061,0.9089,1.8936,-0.9687,0.3235,-0.5691,0.4822,-0.7321
35,305.6968,297.5861,0.753,1.4968,-1.525,0.3185,0.2143,0.612,-0.7241
35,303.9022,295.8679,0.703,1.0481,-1.786,0.0418,0.1141,0.686,-1.1821
35,303.8801,293.5594,0.6544,0.9008,-1.9216,-0.0634,0.5633,0.686,-1.0625
35,304.0104,292.7894,0.5967,0.6062,-1.9509,0.0317,0.3486,0.9423,-1.1066
35,304.2616,292.0042,0.551,0.4246,-2.0327,0.2097,0.2343,0.8402,-1.0115
35,304.0618,290.9646,0.4746,0.2501,-2.4078,0.3449,0.2809,0.9176,-0.8444
35,304.5694,290.887,0.4011,0.2943,-2.2279,0.1992,0.486,0.3298,-0.8558
35,304.3326,289.0304,0.337,-0.0112,-2.4555,-0.1525,0.6706,0.4794,-1.0516
35,303.1775,287.5153,0.1605,-0.0848,-2.3076,-0.3465,0.8013,0.1143,-0.7237
35,302.118,285.6548,-0.0615,-0.2127,-2.3579,-0.365,1.0814,0.0657,-0.6366
35,301.0668,284.7419,-0.1484,-0.463,-2.2802,-0.7187,1.0519,-0.4041,-0.989
35,300.838,282.8611,-0.3255,-0.5235,-2.0755,-0.7555,0.9372,-0.0509,-1.0548
35,300.8227,279.6222,-0.5347,-0.3681,-2.0585,-1.2018,1.2326,-0.9048,-0.8046
1,300.1807,277.8157,-0.5095,-0.3794,-1.8701,-1.0754,1.2462,-0.798,-0.7352
1,299.8459,274.9671,-0.8105,-0.196,-2.0759,-1.0102,1.342,-0.4812,-0.4624
1,299.6943,272.4644,-0.9846,0.1464,-1.7095,-0.5063,1.1265,-0.614,-0.594
1,300.6371,269.7755,-1.0576,0.4084,-2.0312,-0.5092,1.2535,-0.8301,-0.4894
1,301.2033,266.5899,-1.1611,0.646,-1.7866,-0.0762,0.8503,-0.6422,-0.314
1,303.1066,263.067,-1.1752,0.9,-1.9048,0.2193,0.9304,-0.7818,-0.3538
1,304.2505,259.7297,-1.3603,0.9689,-1.3911,0.0248,0.984,-1.0607,-0.6458
1,303.8519,256.2547,-1.2972,1.2319,-1.3136,0.0657,0.8334,-0.9251,-0.6525
1,304.5012,252.2641,-1.3927,1.2905,-0.9867,-0.059,1.0378,-1.0684,-0.5169
1,305.3169,247.3198,-1.4084,1.3245,-0.972,0.0266,0.5768,-0.9657,-0.2322
1,305.17,243.721,-1.5144,1.3719,-0.5472,0.0644,0.684,-0.8287,-0.1587
1,305.7017,239.71,-1.4983,1.2905,-0.5926,-0.0878,0.6635,-1.0001,-0.3416
1,306.2506,235.9666,-1.5112,1.2609,-0.4637,0.0994,0.2683,-0.8808,-0.2521
1,305.7047,232.0408,-1.5284,1.1501,-0.5382,-0.0293,0.3243,-0.6965,0.1359
0,306.704,228.6035,-1.4272,1.2199,-0.6273,0.3332,0.3707,-0.7289,-0.232
0,307.0547,225.7184,-1.5013,1.3065,-0.6661,0.0135,0.116,-0.5624,-0.2767
0,307.1527,221.4914,-1.497,1.1013,-0.6626,0.1057,0.245,-0.3191,-0.1951
0,307.4812,217.7577,-1.4776,1.0693,-0.6638,0.0487,0.3946,-0.894,-0.2959
0,307.8778,214.5714,-1.5126,0.9799,-0.7652,-0.0188,-0.2258,-0.7655,-0.4375
0,307.1296,211.1534,-1.5687,0.9729,-0.762,0.0146,0.1768,-0.5344,-0.3031
0,306.7529,207.6811,-1.5332,0.9252,-0.8862,-0.1223,-0.122,-0.5417,-0.1268
0,306.469,203.6486,-1.5142,0.9144,-0.7847,-0.0383,0.0306,-0.7207,-0.1863
0,307.0392,200.1861,-1.5968,0.7645,-0.6952,-0.0348,0.3168,-0.4885,-0.5114
0,307.247,194.7786,-1.4677,0.851,-0.731,-0.1647,0.4315,-0.861,-0.153
0,306.8926,190.6527,-1.5254,0.7753,-0.8005,-0.2046,0.4587,-0.7401,-0.7378
0,307.1773,186.7035,-1.4382,0.8537,-0.8067,-0.1797,0.4699,-0.645,-0.6248
0,307.2101,181.6179,-1.4213,0.7656,-0.7837,-0.2843,0.4858,-0.5456,-0.7065
