syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
3,249.4155,283.1887,2.063,-0.0391,2.386,2.7484,-2.0196,-1.8808,-2.8262
3,249.0805,282.889,2.1667,-0.5954,-0.4817,-0.9044,2.8545,-3.3683,1.567
3,249.3949,283.1177,2.0512,-0.237,2.0539,-0.5845,1.3324,-0.3522,-1.0791
3,248.9103,282.1539,2.049,-0.3931,1.0096,-1.1353,1.3823,-1.0095,0.0848
3,248.5127,281.3117,2.0597,-0.2929,1.6032,-0.6951,1.2654,-1.5365,-0.377
3,246.663,280.5982,2.1921,-0.4564,1.1571,-1.0349,1.1174,-1.1445,-0.3074
3,246.0933,279.9566,2.2966,-0.3567,1.5534,-0.5475,1.5802,-1.2748,-0.464
3,245.8906,279.2619,2.4104,-0.4122,1.19,-0.57,1.1028,-1.497,-0.4688
3,244.91,278.2504,2.4722,-0.3153,1.1411,-0.4708,1.0592,-1.0261,-0.477
3,244.0276,278.5703,2.5207,-0.2111,1.1527,-0.3607,0.8579,-0.8775,-0.0764
3,242.6963,278.3001,2.4332,-0.028,1.0132,-0.1776,1.0595,-0.8235,-0.3242
3,241.9997,278.1818,2.493,0.136,1.0716,-0.0362,0.6685,-0.9977,-0.3907
3,239.4549,278.7199,2.6067,0.037,1.1497,-0.1196,0.8991,-1.0372,-0.341
3,239.1202,278.486,2.692,0.1307,1.219,0.1268,0.4793,-0.7852,-0.2736
3,236.5716,278.5742,2.628,0.2068,0.9336,-0.1941,0.613,-0.9938,0.1217
3,235.3012,279.0493,2.7051,0.474,1.309,-0.0368,0.7569,-0.9073,0.1495
3,233.9428,279.3139,2.757,0.4302,1.0364,0.113,0.5621,-0.502,0.0158
3,233.126,279.6762,2.7902,0.6076,1.2612,0.3525,0.4044,-0.8807,0.1202
3,232.1728,278.6315,2.7135,0.771,1.4425,0.3882,0.3491,-1.0987,0.4266
3,232.4566,278.7102,2.7676,0.573,1.406,0.5346,0.3888,-0.9351,0.1313
0,232.6025,279.5001,2.7902,0.6196,1.4607,0.7133,0.591,-0.4666,0.5897
0,233.4741,279.094,2.7158,0.5661,1.4518,0.5673,0.4579,-0.637,0.4218
0,234.0781,278.8403,2.8326,0.737,1.4533,0.4815,0.5641,-0.5093,-0.0531
0,233.4582,278.9136,2.7459,0.6525,1.42,0.6749,0.3335,-0.222,0.3672
0,234.2216,279.0459,2.7268,0.5877,1.5063,0.5394,0.0938,-0.1736,0.5178
0,234.8765,278.82,2.7972,0.5457,1.5434,0.4361,0.1999,-0.9076,-0.0296
1,237.2823,278.0829,2.6564,0.1475,1.2417,0.2287,-0.2562,-0.4236,-0.1587
1,241.393,278.4729,2.399,-0.1681,1.3798,0.2,-0.4691,0.1729,-0.0674
1,244.6541,277.8287,2.2358,-0.6011,1.2124,-0.2683,-0.065,-0.1302,-0.5639
1,246.0454,277.0666,2.1112,-0.7021,0.8509,-0.5107,0.3075,0.1472,-0.3975
1,249.1412,276.2794,1.8606,-0.9906,0.5097,-0.8008,0.3494,0.5048,-0.2695
1,250.4191,276.42,1.7263,-0.8814,0.5653,-1.0995,0.5561,-0.041,-0.1649
1,251.6298,276.62,1.7822,-0.6609,0.7248,-1.1036,0.5009,-0.5253,-0.2788
1,252.0762,276.9323,1.7238,-0.2977,0.5967,-1.0234,0.5865,-0.2955,-0.0749
1,253.5837,277.0041,1.6372,-0.708,0.5822,-1.2599,0.8766,-0.1452,-0.0267
1,254.5787,277.7134,1.5721,-0.5228,0.4028,-0.9012,0.7649,-0.1074,0.0296
1,256.1671,278.0706,1.4602,-0.5077,0.402,-0.8976,0.7368,0.0945,0.5677
1,257.2681,280.4126,1.3141,-0.3562,-0.0159,-0.6745,0.5669,0.389,0.7531
1,259.7863,282.3655,1.1933,-0.26,-0.1154,-0.7553,0.3452,0.0973,0.3754
1,260.8704,282.9932,1.1947,-0.0637,-0.4122,-0.7505,0.3497,0.1704,0.7428
1,262.9096,286.3677,1.0044,0.1696,-0.2648,-0.8422,0.6376,-0.1616,0.4196
1,265.6468,287.8686,1.0984,0.0412,-0.6522,-1.0483,0.6059,-0.2156,0.2884
1,266.7824,289.5922,0.9799,0.3607,-0.6656,-1.0864,0.9277,-0.307,0.2427
1,267.5472,292.3926,0.9598,0.4184,-0.6406,-1.0185,0.6393,-0.2485,0.4816
