syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
0,38.9278,311.757,2.8205,-4.2456,-1.5228,-2.5948,2.5446,-0.5328,-2.5561
0,40.4102,311.438,2.6595,0.0553,-3.4128,-0.3461,-0.0286,0.8456,1.0028
0,40.5546,311.0895,2.6313,-0.4425,-0.1433,-2.3349,-0.4638,0.1689,1.7775
0,41.2951,310.4843,2.8893,-0.2957,-1.0805,-1.6601,0.3996,0.6118,0.161
0,41.8428,310.0868,2.7308,-0.3142,-0.7951,-1.2708,0.2688,0.0998,0.8172
0,42.4901,310.1225,2.7456,-0.2365,-0.8007,-1.4983,-0.1333,-0.0456,1.0598
1,42.5524,309.9924,2.732,-0.3728,-0.698,-1.3355,0.0647,-0.1027,0.3943
1,42.2883,310.5373,2.7262,-0.5724,-0.9425,-1.2885,-0.1403,0.1392,0.2989
1,42.8758,311.1046,2.8083,-0.7139,-0.7784,-1.3502,-0.3928,0.1047,0.2923
1,43.502,310.2134,2.6344,-0.7239,-0.9789,-1.3348,-0.0784,0.0398,0.5416
1,44.221,310.0257,2.6635,-1.0465,-1.1247,-1.5416,-0.0581,-0.0206,0.3534
1,43.6258,310.7745,2.6509,-0.7749,-0.7686,-1.7948,0.1814,-0.3305,0.3976
1,44.1977,310.9705,2.6091,-0.8568,-0.7639,-1.5329,0.0852,-0.2437,0.3054
1,43.7866,311.5698,2.6681,-0.635,-0.5868,-1.2767,-0.1413,-0.238,0.3262
1,43.1529,312.0976,2.6161,-0.6694,-0.7844,-0.9465,-0.3262,-0.1193,-0.004
1,41.7942,311.8508,2.785,-0.2605,-0.3996,-0.4607,-0.1426,0.0438,0.0969
1,39.5627,310.8646,2.8109,0.0543,-0.4619,-0.2668,-0.44,-0.1312,0.3778
1,37.7503,311.5088,2.9787,0.4995,-0.2164,-0.2132,-0.475,-0.4606,0.3704
1,35.2091,311.6497,2.9835,0.7964,-0.1235,-0.0156,-0.4405,-0.3421,0.4303
1,33.2057,311.992,2.9314,0.8806,0.2884,0.0343,-0.4654,-0.4079,0.3006
3,32.5106,312.3453,2.9897,1.0509,0.4064,0.0424,-0.3672,-0.7533,0.1511
3,31.4066,313.3929,3.0366,1.1192,0.3209,0.0815,-0.3303,-0.477,-0.0328
3,30.4847,313.6197,3.0005,1.0132,0.7187,0.2793,-0.5943,-0.4095,-0.2643
3,30.4448,313.3915,3.0176,0.8185,0.7116,0.319,-0.5051,-0.2252,-0.1424
3,30.4339,313.2103,2.9193,0.5938,1.049,0.4997,-0.7006,0.1095,-0.8007
