syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
3,292.3699,58.7619,0.9788,3.4517,1.612,-0.9816,-3.1511,-0.4262,2.7117
3,293.2924,59.7065,0.8456,2.2992,-0.9983,0.4045,0.449,0.3525,2.561
3,294.1866,62.7327,1.0302,1.7115,1.2108,-0.8307,1.1559,-0.2617,-1.7466
3,296.3761,65.5189,1.0369,1.3686,0.4395,-0.3819,-0.6543,0.0947,-0.9866
3,299.4654,68.4451,1.043,1.3829,1.2561,-0.7565,-0.0771,-0.2768,-0.7887
3,301.5879,71.452,1.1322,1.5912,0.4839,-0.8598,0.2501,-0.1164,-0.5429
3,302.8336,73.505,1.1367,1.4228,0.7118,-0.6623,-0.247,-0.1884,-0.8709
3,303.2508,76.4694,1.1533,1.5177,0.4413,-0.6511,0.1107,-0.5068,-0.7586
3,303.4552,80.9955,1.1911,1.5144,0.5644,-0.2989,-0.2223,-0.4385,-1.1293
3,304.9234,84.2559,1.1748,1.5361,0.5321,-0.2668,-0.1806,-0.0056,-0.7173
3,304.9498,86.933,1.1829,1.4375,0.7004,-0.3809,-0.0313,-0.1752,-0.563
3,305.3771,88.2623,1.2425,1.4426,0.7613,-0.2075,-0.3508,-0.018,-0.7995
3,306.4488,89.8171,1.2093,1.4776,0.7636,-0.187,-0.2216,0.2172,-0.9409
3,306.1489,92.5936,1.2673,1.379,0.5548,-0.0213,-0.0519,0.2614,-0.7324
3,307.123,94.9981,1.3528,1.31,0.5386,0.0929,-0.2981,0.1695,-0.5449
3,307.7478,98.1514,1.3222,1.2955,0.3624,0.192,-0.2137,0.6184,-0.5166
0,308.0972,99.7435,1.2937,1.329,0.4907,0.0878,-0.0046,0.9152,-0.3508
0,308.6295,101.8071,1.2748,1.1844,0.3067,0.161,-0.2992,0.5522,-0.5495
0,309.0305,103.0909,1.2941,1.1237,0.2646,0.2147,-0.1175,0.7152,-0.8028
0,309.5992,104.258,1.2056,0.9432,0.3216,0.2286,-0.107,1.073,-0.879
0,310.0049,106.9343,1.3251,0.9103,0.124,0.299,-0.1126,0.4824,-1.081
0,309.4041,109.2732,1.3079,1.0467,0.1864,0.2717,-0.1647,0.6861,-0.9692
0,309.0603,110.3551,1.2619,1.076,-0.0139,0.3234,0.0493,0.7043,-0.7053
0,310.1664,111.1992,1.3012,1.2082,0.1095,0.4238,-0.1591,0.5867,-0.8313
0,310.2311,111.3319,1.2711,1.2241,-0.1569,-0.0122,-0.4275,0.5499,-1.2191
0,310.3191,111.3231,1.3325,1.32,-0.199,0.2493,-0.512,0.3146,-0.7545
0,310.5662,111.9627,1.2956,1.1416,-0.2372,0.2246,-0.5343,0.6897,-1.2246
0,310.74,110.8657,1.2128,1.2316,-0.1425,0.4487,-0.3767,0.4291,-1.0203
0,310.7205,110.1869,1.232,1.1044,-0.1741,0.3271,-0.106,0.6219,-1.1226
0,311.2761,110.5078,1.2039,1.1857,-0.2439,0.3257,-0.2466,0.3925,-0.9568
1,311.6792,109.3881,1.2121,0.985,-0.1254,0.0481,-0.1639,0.0525,-0.9969
1,311.2664,108.6991,1.106,0.7468,0.0257,0.2347,-0.2785,-0.0799,-1.1278
1,310.5127,107.5575,1.1382,0.6372,0.259,-0.2593,0.211,-0.0044,-1.3867
3,309.5432,102.7591,-1.9432,0.66,0.2901,-0.0604,-0.0588,0.2338,-1.3361
3,309.7991,100.1577,-2.0134,0.7959,0.5964,-0.0741,-0.0216,0.0361,-1.2809
3,308.0013,100.1184,-1.9285,0.7277,0.8215,0.0893,-0.1858,-0.0217,-1.4685
2,308.5339,100.3625,-2.0604,0.5043,1.0869,-0.1515,0.1768,0.0558,-1.7033
2,308.0186,99.7844,-2.0561,0.3473,0.9558,-0.0876,-0.0915,-0.1229,-1.3434
2,307.3903,100.4405,-1.9715,0.3135,1.1634,-0.0603,-0.0796,0.0467,-1.4259
2,306.3453,102.3748,1.4588,0.0354,0.8548,-0.3026,-0.0701,0.2313,-1.4353
2,305.4208,102.8026,1.3715,0.2763,1.3155,-0.0233,-0.1845,-0.3391,-0.9833
5,304.9991,102.4782,1.4209,0.2835,1.0467,0.1576,-0.1431,-0.2378,-1.2091
5,303.5088,102.5023,1.5336,0.4127,1.1415,0.0626,-0.0636,-0.1177,-1.4007
5,302.5476,104.0262,1.5491,0.6742,1.0858,0.1709,-0.036,-0.3894,-0.9841
5,302.1292,106.1531,1.7679,0.6493,1.22,0.1026,-0.0378,-0.4564,-1.0595
5,301.2984,109.6271,1.6789,1.0605,1.2746,0.2474,-0.233,0.2243,-0.4024
5,300.5923,113.734,1.7783,1.0788,1.2113,0.1186,0.0717,0.0489,-0.3662
5,299.7643,118.8044,1.7573,1.2123,0.9208,0.1012,-0.0197,-0.1094,-0.4868
5,298.8973,122.9011,1.8499,1.1982,0.6247,0.0102,-0.0682,0.2963,-0.5416
5,296.6937,127.3474,1.8454,1.2805,0.5699,-0.0471,-0.2339,0.3822,-0.5285
5,295.0518,132.8681,1.8043,1.2807,0.2441,0.2957,-0.1532,0.0875,-0.2135
5,293.4683,136.9184,1.7935,1.3874,0.4414,0.3135,-0.0912,0.0736,-0.4885
5,293.5786,142.3006,1.7273,1.3297,0.4422,0.4947,0.064,0.4417,-0.6469
5,292.7478,146.2597,1.8018,1.2746,0.4294,0.4165,0.1069,-0.1018,-0.482
5,291.5933,150.8401,1.7726,1.3386,0.4639,0.4181,0.0025,0.3458,0.2161
5,291.245,154.2353,1.8033,1.133,0.3338,0.2633,-0.1083,0.672,-0.5239
5,290.2988,157.9007,1.81,1.2033,0.4835,0.1866,0.1131,0.2765,-0.2348
5,289.0547,161.7197,1.7403,1.3649,0.3432,-0.0281,-0.0771,0.6387,-0.575
5,288.9535,164.8278,1.843,1.16,0.3957,-0.1486,0.5208,0.5281,-0.9657
5,287.7925,168.5783,1.7823,1.2209,0.3245,-0.0832,0.0857,0.7784,-0.5035
5,288.5621,172.1718,1.8356,1.2028,0.7789,-0.2295,0.1174,0.3664,-0.0907
5,288.2646,175.7805,1.7473,1.3309,0.659,-0.3363,0.2103,0.4762,-0.1042
5,288.3473,179.7475,1.7696,1.4142,0.7005,-0.2851,0.3199,0.0236,-0.2922
5,288.4397,182.6589,1.811,1.4052,0.3739,-0.2226,0.1417,0.2571,0.0151
5,289.0176,186.0726,1.735,1.4742,0.3976,0.0185,0.0469,0.6488,-0.0
5,288.3827,190.3159,1.7547,1.2893,0.2804,-0.2413,0.2641,-0.0545,-0.0637
5,288.1612,194.5168,1.7827,1.1337,0.2199,-0.2048,0.2571,0.6162,-0.2351
5,288.8169,198.2737,1.6645,1.2567,0.2754,-0.0715,0.1737,0.6223,0.0846
5,289.075,201.0054,1.6605,1.1586,0.11,-0.1429,-0.0897,0.8685,-0.499
5,289.1056,202.7416,1.6563,1.0003,-0.0686,-0.0224,0.2405,0.4408,-0.6067
5,289.9983,205.9896,1.6187,0.7791,-0.0047,-0.3174,-0.2287,0.4904,-0.4272
5,290.7092,210.0391,1.5063,0.9299,0.0146,-0.3673,-0.2632,0.6082,-0.5539
5,292.5743,213.8748,1.5548,0.816,-0.0095,-0.4626,-0.0064,0.346,-0.5543
5,294.3263,217.6356,1.451,0.9922,-0.0603,-0.304,0.2497,0.7266,0.0124
5,294.2038,220.9856,1.4579,1.0202,0.1008,-0.3688,0.3311,0.9454,-0.5086
5,294.8237,224.6064,1.4483,1.1506,-0.1406,-0.3278,0.088,0.7547,-0.6555
5,294.4782,229.6689,1.4655,1.0198,0.2365,-0.3803,0.3046,0.5168,-0.6151
5,294.5507,233.7957,1.4694,1.2973,0.1279,-0.2409,-0.1336,0.9507,-0.2608
5,294.2992,237.8915,1.339,1.2924,0.2498,-0.404,0.5582,0.8631,-0.4388
5,294.6141,242.6061,1.3503,1.5461,0.2325,-0.0428,0.4817,0.7084,-0.1138
5,294.8783,247.9244,1.4447,1.5761,0.4824,-0.3302,0.5414,0.5327,-0.3823
5,295.5917,251.6973,1.426,1.5964,0.6957,-0.074,0.4294,1.096,-0.2642
5,296.2225,256.1599,1.3672,1.7976,0.48,0.1461,0.1979,0.7749,0.0695
5,296.5551,260.5195,1.5428,1.6726,0.3578,0.0204,0.3335,0.7676,-0.1913
5,296.8596,264.3585,1.4683,1.4902,0.0869,-0.0862,0.3191,0.8852,-0.0578
5,296.8243,267.6753,1.5317,1.7078,0.3141,0.1843,0.3145,0.6952,0.5485
5,296.5535,270.6366,1.5331,1.5931,0.1045,0.1478,0.5006,0.8161,0.0293
5,297.4601,272.0673,1.5142,1.5375,0.232,0.218,0.4784,0.6809,-0.4833
5,297.907,273.8368,1.4496,1.6816,0.1167,-0.1092,0.4739,0.5972,0.2861
5,298.048,276.068,1.4831,1.628,-0.0562,-0.1162,0.2852,0.8621,0.1127
5,298.1495,278.4176,1.4728,1.3963,0.1341,-0.3826,0.347,0.3027,0.0778
5,299.7381,280.8936,1.4179,1.4415,0.0651,-0.5512,0.6085,0.3601,0.4241
5,300.2196,283.064,1.3562,1.4072,-0.2274,-0.4985,0.2728,0.7101,0.4853
3,301.3673,285.2256,1.3832,1.5498,0.2812,-0.3544,0.6351,0.7079,0.2237
3,301.6914,288.5375,1.3902,1.4195,0.0188,-0.4352,0.7142,0.5904,0.1733
3,302.4683,291.893,1.3733,1.5087,-0.1305,-0.3988,0.4371,0.5129,-0.2074
3,302.6153,294.5094,1.3275,1.5119,0.1083,-0.7104,0.3495,0.3881,0.3308
3,302.7941,296.153,1.3231,1.437,0.0263,-0.6092,0.2046,0.5889,-0.0703
3,304.538,298.9845,1.3594,1.4536,-0.0055,-0.4231,0.3297,0.6111,-0.073
3,305.3307,301.1902,1.3598,1.233,-0.0863,-0.3004,0.371,0.7752,-0.1977
3,305.9709,302.6141,1.3603,1.162,-0.3088,-0.175,0.3168,1.0479,-0.1971
3,305.9575,302.917,1.3604,1.1759,-0.3502,-0.0395,0.5545,0.8924,-0.2468
3,306.6466,303.0221,1.4119,1.123,-0.3503,0.1991,0.3806,1.1814,-0.0465
3,306.9685,302.2616,1.3102,1.1952,-0.4074,0.5416,0.3309,1.0362,-0.3603
3,307.2037,301.7333,1.2652,1.1513,-0.589,0.3746,0.4588,1.2677,-0.0359
3,307.424,301.8881,1.2841,1.3048,-0.571,0.5589,0.4547,1.1801,-0.3416
0,307.1597,301.6643,1.2954,1.2405,-0.6709,0.4472,0.2617,1.0464,-0.1891
0,307.5804,301.1762,1.259,1.4161,-0.7509,0.5729,0.0691,0.9004,-0.2381
0,307.2867,301.5221,1.3096,1.2963,-0.7813,0.5971,-0.0091,1.2278,-0.2165
0,307.8043,301.0255,1.2508,1.2862,-0.6685,0.679,0.2418,1.5859,0.0387
0,307.4919,300.8901,1.2588,1.2975,-0.7578,0.704,0.3674,0.8715,-0.031
0,307.8975,300.9163,1.2017,1.4094,-0.8363,0.6935,0.3641,0.9671,0.0703
0,308.4584,300.9527,1.2525,1.2473,-0.6522,0.6864,0.1118,1.163,-0.0391
0,308.1457,301.1727,1.2527,1.2812,-0.8601,0.5696,0.197,1.0468,-0.2157
0,307.8077,301.7893,1.2609,1.272,-0.802,0.4431,0.3027,0.9577,-0.4735
0,307.5044,302.3715,1.2616,1.3912,-0.911,0.4481,0.234,0.9048,-0.321
0,308.231,301.8248,1.3228,1.6204,-0.9947,0.7222,0.6548,0.6699,-0.1826
0,307.2399,301.663,1.2538,1.5134,-0.9621,0.4124,-0.0464,0.8202,-0.6695
0,306.803,301.103,1.2998,1.5623,-1.1632,0.3916,0.3062,1.2792,-0.7969
2,305.4919,300.1946,1.3169,1.718,-0.5713,0.6086,0.4228,0.6642,-1.0325
2,304.4331,299.7981,1.4016,1.6725,-0.4003,0.3552,0.5069,1.1685,-0.9785
2,303.0191,298.6338,1.5229,1.4652,0.3115,0.1554,0.7046,0.3403,-1.1909
2,301.4384,297.2027,1.6351,1.0374,1.0653,-0.0272,0.8534,0.1803,-1.4338
2,300.0526,297.4049,1.6956,1.1169,1.4769,-0.2802,1.0444,-0.1411,-1.0661
2,298.3437,297.0806,1.7982,1.2302,1.8979,-0.5007,1.3803,-0.0741,-0.9734
2,296.9185,298.5332,1.9012,1.3866,2.1697,-0.6706,1.1984,-0.2671,-0.4757
2,296.4055,297.8767,1.9574,1.1985,2.308,-0.5685,1.1466,-0.0614,-0.4175
2,295.5605,298.1714,2.0867,1.5136,2.2203,-0.6206,1.1984,0.0212,-0.5464
2,293.8549,299.0858,2.1127,1.4233,2.0886,-0.3645,0.9588,-0.0522,-0.3294
2,292.8419,299.3275,2.1372,1.5215,1.8721,-0.2915,0.7871,0.214,0.1209
2,290.749,299.5301,2.2175,1.3582,2.1315,-0.3807,1.0051,0.0865,-0.3595
2,288.9383,301.2986,2.3094,1.0593,1.8457,0.0137,0.9114,0.3142,-0.7576
2,286.418,302.7425,2.2867,1.4001,1.8973,0.0221,0.971,0.3201,-0.3464
2,284.4647,305.3107,2.3777,1.2911,2.4142,0.5724,0.7986,0.2137,-0.5098
2,282.3397,307.9509,2.4649,1.3157,2.2809,0.6542,0.6964,0.0884,-0.4982
2,280.9045,310.6734,2.4331,1.3792,2.2132,1.1132,0.4584,-0.1978,-0.3128
2,279.6196,310.7838,2.4494,1.4109,1.9277,0.782,0.6003,-0.1362,-0.3714
2,278.8474,310.4121,2.5385,1.3772,2.0814,0.9276,0.3771,-0.2126,-0.4725
2,277.6203,309.4809,2.5888,1.1696,1.9252,0.5235,0.7398,-0.0281,0.0778
2,277.2717,306.4595,2.7228,0.6562,2.3142,0.4666,0.7439,-0.4695,-0.7238
2,276.3684,303.9327,2.6911,0.5291,2.4212,0.4277,0.8416,0.0743,-0.5174
28,275.1975,302.1682,2.7731,0.7835,2.3019,0.3169,0.8844,0.8281,0.5065
28,271.8982,300.1079,2.9628,0.9725,2.1521,0.1114,1.3047,0.6489,0.2734
28,269.7827,299.0172,2.889,1.0549,2.2156,0.1877,1.6129,1.1169,0.8915
28,264.6224,299.2543,2.9346,1.25,1.9283,0.003,1.4245,0.7755,1.0182
28,259.544,299.233,3.0653,1.4823,1.6446,0.3085,1.7338,0.4926,0.7771
28,255.03,299.6556,3.0799,1.4758,1.616,0.2978,1.7184,0.6215,1.4095
28,250.8104,300.0501,3.1269,1.6092,1.2994,0.0449,1.0638,0.4929,0.8979
28,246.9531,300.4815,3.129,1.5903,1.2324,0.3752,1.353,0.5577,1.0716
28,241.5018,300.9673,-3.132,1.5079,1.1877,0.4078,1.1521,0.3286,0.9965
28,237.3678,300.3074,-3.1196,1.5287,1.0003,0.2887,1.0729,0.7466,0.5682
28,232.1107,300.1336,3.0923,1.6876,0.818,0.5238,1.0032,0.4955,0.6684
28,228.6553,300.2578,3.0668,1.7049,0.8093,0.1407,0.9326,0.2514,0.4687
28,225.1472,300.8672,3.0533,1.8143,0.6705,0.2075,0.9245,0.4832,0.6161
28,220.8927,300.3106,3.0788,1.811,0.554,0.1061,0.8353,0.855,0.3587
28,215.9,300.7727,3.113,1.8852,0.6834,0.0897,1.0634,0.2832,0.4173
28,212.2058,301.767,3.0841,1.7879,0.8252,-0.0545,1.2194,0.5419,0.2901
28,208.0186,301.4068,3.1085,1.7917,0.5498,-0.0632,0.9704,0.9273,0.5117
28,203.5448,302.4908,3.0929,1.8311,0.6809,0.0973,0.9406,0.4194,0.1512
28,198.3531,301.979,3.1233,1.8531,0.5608,-0.0915,1.0325,0.911,0.4562
28,194.4603,301.9235,3.1247,1.7531,0.8439,-0.1057,1.4207,0.3917,0.2208
28,190.1064,301.6514,3.0594,1.7785,0.6486,-0.0421,1.2142,1.0845,0.8529
28,185.1978,301.7145,3.0663,1.7406,0.7373,-0.0768,1.3584,0.8238,-0.0002
28,182.0339,302.411,3.1254,1.7254,0.7579,-0.0098,1.1578,1.0783,0.3569
28,177.9901,303.5363,3.1407,1.8725,0.707,-0.0269,1.2143,0.5521,0.1813
28,174.5409,303.0599,3.1397,1.9157,0.826,-0.0312,1.5394,0.2793,0.7068
28,172.9297,302.426,-3.1131,1.9874,0.8194,0.0139,1.2739,0.737,0.5709
28,170.0168,301.0789,-3.0979,1.9728,0.6093,0.0462,0.9773,0.7576,0.8943
28,168.0429,300.1704,-3.0625,1.8923,0.6081,0.0308,1.2357,0.4103,0.5416
28,164.5032,298.7444,-3.0626,1.7501,0.4281,-0.0397,1.0154,0.9175,0.6117
28,160.2877,297.1483,-3.0819,1.6368,0.41,-0.0444,1.2084,0.8394,0.4567
28,156.3732,296.6151,-3.0472,1.5045,0.2587,-0.1429,1.1632,0.9725,0.0994
28,152.0218,296.3454,-2.9818,1.4368,0.7528,-0.0656,1.104,0.3976,0.0269
28,147.3282,296.3971,-3.0714,1.4295,0.6879,-0.133,1.1381,0.9706,0.2727
28,143.3554,295.6132,-2.9908,1.6185,0.5151,-0.2211,1.1703,0.8297,0.3419
28,138.9394,295.3167,-3.019,1.6145,0.3239,-0.1878,1.404,0.3219,0.4527
28,134.1913,294.1947,-3.0405,1.6181,0.3418,-0.1349,1.194,0.2703,0.8442
28,130.7567,293.1137,-3.0237,1.6255,0.2504,-0.2862,1.0688,0.3853,0.3494
28,125.6679,291.8586,-3.0275,1.5078,0.2962,-0.2719,0.9116,0.8832,0.6071
28,121.3318,291.5779,-3.0085,1.5094,0.305,-0.1136,0.9452,0.2769,0.6564
28,116.779,290.9205,-3.0515,1.4331,0.2316,-0.106,1.0463,0.5425,0.4321
28,112.3665,291.077,-2.999,1.308,0.2563,-0.1691,0.7255,-0.1256,0.2217
28,107.9533,290.5419,-3.0292,1.4297,0.4613,-0.1652,0.6711,0.6585,-0.0137
28,103.2524,290.4174,-2.9532,1.4462,0.6299,0.0152,0.757,0.1598,0.2723
28,98.8248,288.7828,-3.0196,1.4078,0.5329,-0.0714,0.6066,0.3319,0.2469
28,94.2833,288.0745,-3.0735,1.4392,0.6153,0.0464,0.5049,0.3701,0.2907
28,90.4541,287.6267,-3.0104,1.3897,0.4031,0.1321,0.4696,0.7574,0.3224
28,86.8907,287.1406,-3.0303,1.4137,0.6504,0.0799,0.6296,0.4935,-0.0343
28,81.7241,286.0656,-3.0296,1.5111,0.8217,0.261,0.7641,0.4009,0.407
28,77.8981,286.0213,-3.0616,1.5552,0.9553,0.356,0.8435,0.354,0.1038
28,73.7249,285.5764,-3.0515,1.5998,0.7878,0.1154,0.6611,0.4837,0.4023
