group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration,abs_number
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,16,-1.413675857,1.458962613,-3.138855583,3.124579208,-0.144585442,15.24179728,-187.5776255,186.8574225,75.99136655,48.02056148,1.96457961,231.1729834,0.009895547,1.961111111,18
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,17,-1.120548981,0.659730014,-2.524261923,2.899356867,-0.348116724,1.112352794,-3.070958545,1.856865848,39.0240137,27.81124144,2.128302525,152.2907236,0.007696537,0.721428571,14
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,18,0.058828098,1.883545644,-2.104314005,2.656330026,0.111544945,0.34462676,-0.580608355,1.638397334,21.3102062,11.76677746,1.911769556,60.91490259,0.003298516,0.561111111,6
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,19,-0.522821772,1.628403279,-2.692495685,2.51266425,5.56833583,30.74792117,-15.89042972,165.1703472,54.11751358,47.0193066,3.012913517,165.6752025,0.005497526,0.1,10
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,20,0.06590058,0.610767771,-1.686150267,1.945687371,-0.493943491,1.307712764,-5.841508012,1.647109089,106.3097175,49.78871612,4.793314387,240.4064075,0.008796042,0.939583333,16
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,21,-0.85166149,2.665380862,-3.139433472,3.137117893,0.000965279,26.12941702,-188.2773301,187.6812991,93.98618566,57.24599317,1.737030478,235.0066511,0.004398021,1.720833333,8
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,0,-0.107255669,1.67454917,-3.137899155,3.139356284,0.071185209,7.279902743,-187.7942345,187.9687466,41.12453737,39.73131286,0.376413677,236.8660457,0.255775578,0.711397849,465
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,1,-0.212060391,1.698276177,-3.141085123,3.140268106,-0.011139625,11.21057884,-188.2480942,188.1580167,57.90281409,42.62837218,0.719636527,223.7312159,0.142464246,0.472586873,259
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,2,0.193107284,1.865297473,-3.140190635,3.135848857,-0.0672006,18.98163264,-188.155568,188.12781,60.60453162,39.0124525,0,235.1569552,0.119361936,0.393394777,217
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,3,0.135787511,1.889411904,-3.141361637,3.140216289,0.023664494,9.946874265,-188.2776421,188.2755164,43.36186799,34.74730008,0.557796557,222.1502151,0.151815182,0.650241546,276
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,4,0.767062427,1.60427468,-2.597560723,3.030107749,-0.310748009,1.320482755,-8.500126551,13.93981819,36.18843595,30.91148661,2.809098295,209.7489912,0.020352035,0.316216216,37
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,5,-0.000494841,1.880095959,-3.137638342,3.138722522,0.033599877,12.20310922,-188.3322622,188.2178403,82.38760567,54.51285059,1.554686261,242.3031674,0.075907591,0.800966184,138
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,6,0.10313038,1.647584565,-3.121563598,3.141505659,-0.581371906,15.39922373,-5.798618331,186.92729,75.65670314,44.94430927,2.328546233,240.532341,0.056105611,0.530718954,102
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,7,-0.271287581,1.554841502,-3.130652109,3.138313736,-0.387565641,14.25766828,-186.3380786,187.2781451,50.893742,40.24401405,0.574776178,257.7774609,0.0330033,0.672222222,60
