group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,0,0.11994921143931554,1.6212667860376786,-3.1409763209304926,3.141193128798764,-0.025734829728272658,9.742934432075296,-188.41934737214612,188.3372588372048,45.82808107805221,43.14959351583004,0.38281660086306224,249.49915433684103,0.2336448598130841,0.7021960784313726
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,1,0.04234108057865051,1.64252080367705,-3.1400315863420944,3.140983923689589,0.14086554787476976,10.444219787272372,-187.67838005380708,187.7359356551635,61.94643704157136,44.022201291902725,0.926117196558873,237.2783002947514,0.15667949422759758,0.440233918128655
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,2,0.27247739086074685,1.7960851533879578,-3.1375732593538075,3.137856208913137,-0.42791271600337455,20.018143690280112,-187.66660608425192,187.28268892214405,62.41896611704699,44.15719540190169,0.6443586315479667,250.58788432725697,0.12259483232545354,0.45231689088191335
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,3,0.14935075202970277,1.8497912464407633,-3.140767201503545,3.136963695411888,0.13210153206597225,11.316841704331225,-187.55329469357787,188.1732753007673,45.40792593635123,37.393779637773555,0.3814759664063632,226.63249196803133,0.1302913688840022,0.6205344585091421
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,4,0.5544717844596407,1.7168916022617007,-2.8791643917870196,2.795455849847416,0.4350542577352665,13.680525534129542,-172.98972561994609,175.02908558355244,27.699498271328913,20.56400684459317,1.06289098186701,119.44239181951825,0.034084661902144035,0.2413978494623656
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,5,-0.23131703435755466,1.7444515745947564,-3.1277002761458377,3.140994121800616,0.044482990318610534,7.261236817037371,-187.56607815303119,187.45798888067512,82.0495797928657,53.24615376516785,0.0,272.982086764829,0.06652006597031336,0.9327823691460055
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,6,0.2148793312155743,1.706968327209889,-3.139892402657721,3.125080184393356,0.23702661796091348,19.533692895240083,-7.242313514260001,187.54966035586736,66.44305030226253,40.97524347665792,0.1738770793367282,230.55189226319973,0.038482682792743264,0.5257142857142857
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,7,-0.03278179261408787,1.3675907391696855,-3.0659870263249664,2.855059327363101,-0.88162456476571,7.5730659144858175,-4.789431996527033,183.6444732291538,46.39933236094317,32.90185969019153,1.0205262458020592,176.45897035582925,0.019241341396371632,0.5838095238095239
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,8,0.2723506073599674,1.1571048432837225,-2.5726320648085164,2.7158329398555603,0.4122365941657777,38.90805730508416,-98.10689886946878,142.3695576725404,67.39160278720091,45.20962836408759,4.747662042400066,228.2039506866553,0.014293567894447499,0.06666666666666667
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,9,-0.48597361061327554,1.3270436951795699,-3.1158352270152543,3.0952570281634424,-0.20505789391914342,6.437153992009078,-187.56625116957977,3.399655481049054,23.18117668570449,19.442056601913496,0.41834577117969757,151.95580797141494,0.012094557449147883,2.5681818181818183
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,10,0.3303148482127391,1.5758778317029352,-3.0939487284137734,3.1060432845954984,0.6854168520751507,23.684868302937016,-186.40944560428824,186.77579165242958,59.70038202308896,40.7138068356293,4.618386901923087,192.41476301803817,0.020890599230346345,0.2833333333333333
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,11,-0.5539761578687814,1.5785245896377902,-3.069502701326571,3.136084324929089,-0.2221836666820051,5.876692981922513,-185.54800648236417,2.988675679431596,61.67553527222746,45.796320311916986,0.9169966358824976,224.6902930981981,0.018141836173721827,1.0757575757575757
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,12,-0.29728626439158673,1.4844570646433,-2.8534938825029257,2.8321567650091355,-6.621274047459614,33.019298016388845,-130.7067449827833,109.3507227203885,41.34125158471021,26.655520258975972,3.260005550918464,120.5629368742492,0.01154480483782298,0.07936507936507936
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,13,0.6741356503539712,1.4745233336069832,-2.8534938825029257,2.86631809629859,0.3147046920874342,7.485064916156468,-103.8119523915673,64.63113789276869,73.81598577922223,50.43332868787884,3.7211338518512997,234.15282827084178,0.014293567894447499,0.48846153846153845
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,14,0.3017847258170754,0.9283245584754295,-3.141491063064919,2.932840859095067,0.04231830049435572,6.326537426466509,-186.70130465380225,4.509200641857625,100.83513632970339,50.25054766809637,4.583122518893353,238.52575554620634,0.02199010445299615,0.7475
